route_class,passenger_load,service_profile,shortage_score,trolley_availability,catering_complexity,turnaround_pressure,item_criticality,inventory_category,latent_required_units,latent_available_units,shortage_gap,risk_level,affected_service_area,action_class
short_haul,184,business_priority,8.13,0.88,2.73,2.95,4.05,beverage,36.84,46.5,0.0,LOW,beverage,monitor_only
short_haul,178,business_priority,0.2,0.43,2.39,4.92,4.15,beverage,33.45,18.49,14.96,ELEVATED,beverage,top_up_before_arrival
medium_haul,126,business_priority,1.62,0.41,6.41,8.39,8.54,beverage,42.72,5.59,37.13,HIGH,beverage,replace_trolley_set
short_haul,178,high_turnover,8.88,0.42,7.08,5.52,2.83,meal,42.75,11.06,31.69,HIGH,meal,replace_trolley_set
medium_haul,114,late_rotation,7.27,0.95,5.64,3.31,2.64,beverage,34.82,46.23,0.0,LOW,beverage,monitor_only
medium_haul,90,late_rotation,1.81,0.48,3.42,4.54,8.03,wheelchair_kit,26.19,23.95,2.24,ELEVATED,wheelchair_kit,top_up_before_arrival
medium_haul,123,high_turnover,2.77,0.45,7.01,1.47,8.7,wheelchair_kit,34.19,33.83,0.36,LOW,wheelchair_kit,monitor_only
long_haul,97,standard,3.76,0.66,1.55,7.39,4.2,beverage,36.35,20.54,15.81,HIGH,beverage,replace_trolley_set
short_haul,158,business_priority,5.14,0.82,8.03,2.44,9.46,wheelchair_kit,35.37,46.61,0.0,LOW,wheelchair_kit,monitor_only
short_haul,160,high_turnover,5.72,0.6,8.42,3.48,2.33,beverage,36.65,35.82,0.83,ELEVATED,beverage,top_up_before_arrival
medium_haul,106,business_priority,5.29,0.62,7.81,4.49,6.52,duty_free,34.33,28.17,6.16,HIGH,duty_free,top_up_before_arrival
short_haul,85,high_turnover,3.97,0.54,7.85,7.01,3.36,beverage,32.38,26.93,5.46,ELEVATED,beverage,top_up_before_arrival
short_haul,70,standard,1.95,0.76,2.53,7.34,7.18,wheelchair_kit,21.24,33.78,0.0,LOW,wheelchair_kit,monitor_only
long_haul,161,standard,2.24,0.77,7.62,4.26,9.42,wheelchair_kit,45.84,38.37,7.47,ELEVATED,wheelchair_kit,top_up_before_arrival
short_haul,219,late_rotation,6.99,0.85,2.2,3.63,3.24,duty_free,35.27,42.19,0.0,LOW,duty_free,monitor_only
medium_haul,114,business_priority,7.72,0.73,7.36,8.18,1.99,duty_free,34.18,31.66,2.51,ELEVATED,duty_free,top_up_before_arrival
short_haul,200,standard,3.23,0.27,2.93,5.56,8.73,mixed_service,33.08,14.94,18.14,HIGH,standard_service,replace_trolley_set
short_haul,97,late_rotation,2.01,0.45,3.97,8.41,3.87,wheelchair_kit,20.45,15.62,4.83,HIGH,wheelchair_kit,replace_trolley_set
long_haul,181,standard,4.57,0.25,2.16,4.49,3.27,wheelchair_kit,38.97,15.12,23.84,HIGH,wheelchair_kit,replace_trolley_set
medium_haul,207,business_priority,4.42,0.97,1.41,4.45,5.92,mixed_service,38.73,47.18,0.0,LOW,premium_cabin,monitor_only
medium_haul,87,business_priority,7.93,0.71,8.56,4.58,2.8,mixed_service,33.73,33.53,0.2,ELEVATED,premium_cabin,monitor_only
long_haul,163,high_turnover,5.83,0.78,4.88,2.29,7.22,beverage,48.98,40.72,8.26,ELEVATED,beverage,top_up_before_arrival
short_haul,207,business_priority,0.34,0.26,8.42,2.06,2.28,mixed_service,39.94,21.16,18.78,HIGH,premium_cabin,replace_trolley_set
short_haul,197,high_turnover,8.12,0.51,4.22,7.5,6.62,mixed_service,37.63,17.62,20.01,HIGH,standard_service,replace_trolley_set
short_haul,101,standard,4.43,0.55,7.93,6.23,3.36,meal,35.37,28.83,6.55,ELEVATED,meal,top_up_before_arrival
long_haul,170,late_rotation,3.52,0.3,1.69,1.3,8.87,mixed_service,44.3,25.17,19.13,ELEVATED,long_haul_service,top_up_before_arrival
short_haul,101,business_priority,2.81,0.62,5.39,2.57,6.2,beverage,29.4,35.31,0.0,LOW,beverage,monitor_only
short_haul,164,business_priority,0.56,0.82,6.72,7.52,5.07,meal,38.62,28.87,9.75,ELEVATED,meal,monitor_only
medium_haul,210,high_turnover,7.11,0.88,5.92,8.69,8.32,beverage,47.36,38.1,9.27,ELEVATED,beverage,top_up_before_arrival
medium_haul,179,standard,0.52,0.81,4.01,3.82,4.72,duty_free,35.46,34.68,0.78,LOW,duty_free,monitor_only
medium_haul,212,high_turnover,3.09,0.34,2.6,6.7,8.85,duty_free,38.42,17.56,20.86,HIGH,duty_free,replace_trolley_set
short_haul,91,standard,8.05,0.65,3.72,5.24,4.58,wheelchair_kit,26.49,29.62,0.0,ELEVATED,wheelchair_kit,top_up_before_arrival
short_haul,204,business_priority,6.8,0.73,2.86,2.09,6.55,beverage,43.74,40.78,2.96,LOW,beverage,monitor_only
long_haul,143,high_turnover,5.37,0.61,4.93,4.08,1.07,mixed_service,40.83,36.26,4.57,ELEVATED,long_haul_service,top_up_before_arrival
short_haul,183,business_priority,4.11,0.55,3.95,2.34,6.21,duty_free,35.28,33.73,1.55,LOW,duty_free,monitor_only
long_haul,70,high_turnover,5.23,0.74,9.37,8.44,8.67,beverage,46.73,21.74,24.98,HIGH,beverage,replace_trolley_set
medium_haul,168,high_turnover,8.45,0.84,3.28,2.69,3.65,beverage,43.87,44.7,0.0,LOW,beverage,monitor_only
short_haul,182,high_turnover,7.68,0.82,4.89,9.18,4.76,beverage,39.51,29.49,10.03,HIGH,beverage,replace_trolley_set
long_haul,178,business_priority,2.17,0.44,4.42,6.88,7.8,beverage,49.45,22.7,26.75,HIGH,beverage,replace_trolley_set
medium_haul,102,late_rotation,7.5,0.35,3.72,4.6,8.78,beverage,35.93,14.07,21.86,HIGH,beverage,replace_trolley_set
short_haul,170,high_turnover,3.28,0.81,2.34,3.84,2.64,beverage,29.36,45.03,0.0,ELEVATED,beverage,monitor_only
medium_haul,153,late_rotation,8.18,0.67,3.44,4.05,4.59,duty_free,37.41,30.45,6.96,ELEVATED,duty_free,monitor_only
short_haul,138,business_priority,7.66,0.47,7.26,2.46,6.36,mixed_service,37.68,28.06,9.61,ELEVATED,premium_cabin,top_up_before_arrival
short_haul,118,high_turnover,3.95,0.54,4.98,8.36,1.64,mixed_service,27.93,23.46,4.47,HIGH,standard_service,replace_trolley_set
short_haul,184,high_turnover,6.71,0.94,9.48,2.25,5.87,beverage,42.77,51.13,0.0,LOW,beverage,monitor_only
short_haul,101,high_turnover,5.76,0.7,4.93,4.55,5.53,beverage,30.7,34.96,0.0,ELEVATED,beverage,monitor_only
short_haul,109,high_turnover,4.5,0.73,9.23,8.45,6.5,duty_free,33.89,33.15,0.74,ELEVATED,duty_free,top_up_before_arrival
medium_haul,174,business_priority,5.75,0.89,8.97,2.46,5.37,wheelchair_kit,41.89,47.46,0.0,LOW,wheelchair_kit,monitor_only
short_haul,73,late_rotation,1.2,0.89,5.73,1.75,6.62,duty_free,22.6,46.05,0.0,LOW,duty_free,monitor_only
medium_haul,145,standard,9.19,0.99,6.07,6.86,5.87,meal,40.56,39.75,0.81,LOW,meal,monitor_only
short_haul,132,late_rotation,8.77,0.97,9.03,1.53,6.72,duty_free,36.6,51.32,0.0,LOW,duty_free,monitor_only
medium_haul,76,standard,2.51,0.79,8.64,4.98,5.18,duty_free,32.64,39.0,0.0,LOW,duty_free,monitor_only
medium_haul,208,late_rotation,7.44,0.31,8.1,7.11,6.06,mixed_service,48.33,4.26,44.07,HIGH,standard_service,replace_trolley_set
medium_haul,111,standard,2.31,0.76,6.64,4.22,1.44,wheelchair_kit,30.03,36.77,0.0,LOW,wheelchair_kit,monitor_only
short_haul,206,business_priority,2.48,0.37,5.31,3.63,8.89,duty_free,40.87,23.28,17.59,HIGH,duty_free,replace_trolley_set
short_haul,192,high_turnover,9.65,0.96,7.05,7.09,5.82,beverage,42.91,44.19,0.0,LOW,beverage,monitor_only
long_haul,126,business_priority,6.32,0.96,7.72,2.55,5.72,meal,51.01,54.76,0.0,LOW,meal,monitor_only
medium_haul,90,high_turnover,7.86,0.47,6.52,6.14,3.49,meal,40.27,23.89,16.38,HIGH,meal,top_up_before_arrival
medium_haul,118,standard,1.93,0.98,6.72,5.72,2.35,beverage,33.69,44.86,0.0,LOW,beverage,monitor_only
long_haul,203,standard,7.07,0.56,2.89,5.2,8.46,beverage,51.57,30.5,21.07,HIGH,beverage,replace_trolley_set
short_haul,169,standard,7.51,0.38,7.76,5.94,9.16,meal,47.0,20.49,26.51,HIGH,meal,replace_trolley_set
short_haul,97,high_turnover,6.65,0.83,7.0,8.56,3.83,mixed_service,30.5,33.53,0.0,LOW,standard_service,monitor_only
medium_haul,112,high_turnover,1.36,0.26,1.9,9.08,1.44,mixed_service,28.56,8.27,20.29,HIGH,standard_service,replace_trolley_set
short_haul,106,high_turnover,8.37,0.26,4.63,8.79,8.57,beverage,36.53,7.2,29.34,HIGH,beverage,replace_trolley_set
short_haul,122,business_priority,6.26,0.34,1.8,5.43,8.72,beverage,36.36,15.5,20.86,HIGH,beverage,replace_trolley_set
medium_haul,153,late_rotation,6.98,0.56,1.17,1.81,9.32,mixed_service,37.34,28.57,8.76,ELEVATED,standard_service,top_up_before_arrival
short_haul,86,late_rotation,7.38,0.73,4.14,3.46,8.05,duty_free,26.74,32.95,0.0,LOW,duty_free,monitor_only
short_haul,175,late_rotation,6.91,0.32,7.65,5.32,3.95,wheelchair_kit,33.02,12.88,20.14,HIGH,wheelchair_kit,replace_trolley_set
short_haul,81,high_turnover,1.52,0.84,8.42,7.54,5.93,wheelchair_kit,23.46,31.21,0.0,LOW,wheelchair_kit,monitor_only
medium_haul,97,high_turnover,3.69,0.73,9.12,4.29,5.8,wheelchair_kit,31.99,33.91,0.0,ELEVATED,wheelchair_kit,top_up_before_arrival
short_haul,125,standard,2.78,0.28,4.29,8.08,4.0,beverage,31.89,3.37,28.53,HIGH,beverage,replace_trolley_set
long_haul,110,high_turnover,6.59,0.86,3.28,2.93,5.1,beverage,43.72,48.89,0.0,LOW,beverage,monitor_only
long_haul,123,late_rotation,4.99,0.58,5.45,6.58,6.48,wheelchair_kit,38.86,21.89,16.97,HIGH,wheelchair_kit,top_up_before_arrival
short_haul,112,high_turnover,6.37,0.51,8.95,7.71,7.53,wheelchair_kit,33.21,24.82,8.39,HIGH,wheelchair_kit,replace_trolley_set
long_haul,185,high_turnover,3.26,0.31,7.36,2.25,7.36,meal,53.32,19.21,34.11,HIGH,meal,replace_trolley_set
medium_haul,101,late_rotation,0.75,0.55,2.58,6.67,7.75,beverage,37.45,22.05,15.4,ELEVATED,beverage,top_up_before_arrival
short_haul,199,standard,6.19,0.86,2.82,8.45,3.03,wheelchair_kit,29.17,27.83,1.34,ELEVATED,wheelchair_kit,top_up_before_arrival
short_haul,150,late_rotation,7.35,0.99,6.91,6.2,1.14,mixed_service,38.23,43.21,0.0,LOW,standard_service,monitor_only
short_haul,115,late_rotation,4.82,0.6,7.55,9.17,3.32,beverage,31.81,8.08,23.73,HIGH,beverage,replace_trolley_set
medium_haul,103,business_priority,6.08,0.57,3.66,4.74,9.26,duty_free,36.63,26.86,9.77,ELEVATED,duty_free,top_up_before_arrival
long_haul,208,late_rotation,1.64,0.78,1.85,1.23,3.08,beverage,44.45,44.97,0.0,ELEVATED,beverage,top_up_before_arrival
short_haul,161,high_turnover,2.89,0.83,8.16,7.12,4.94,meal,39.9,37.33,2.57,ELEVATED,meal,top_up_before_arrival
short_haul,84,late_rotation,9.24,0.76,6.6,8.56,9.06,wheelchair_kit,30.98,26.85,4.13,ELEVATED,wheelchair_kit,top_up_before_arrival
medium_haul,73,standard,9.01,0.42,8.9,2.67,3.15,meal,39.11,28.02,11.09,LOW,meal,monitor_only
medium_haul,196,high_turnover,5.74,0.4,7.81,6.43,4.86,wheelchair_kit,41.2,22.57,18.63,HIGH,wheelchair_kit,replace_trolley_set
short_haul,195,late_rotation,9.8,0.81,9.37,2.76,7.91,wheelchair_kit,42.49,39.98,2.5,LOW,wheelchair_kit,monitor_only
short_haul,184,late_rotation,5.82,0.75,6.25,3.32,4.32,beverage,35.55,39.28,0.0,LOW,beverage,monitor_only
short_haul,208,late_rotation,5.31,0.54,5.37,8.09,2.95,duty_free,35.0,17.74,17.26,HIGH,duty_free,replace_trolley_set
medium_haul,163,high_turnover,0.55,0.35,3.4,8.6,1.47,duty_free,29.51,20.74,8.76,ELEVATED,duty_free,top_up_before_arrival
short_haul,79,late_rotation,5.25,0.98,6.44,3.01,5.91,wheelchair_kit,27.39,45.79,0.0,LOW,wheelchair_kit,monitor_only
medium_haul,195,late_rotation,4.0,0.55,2.83,9.42,6.84,beverage,38.18,8.29,29.89,HIGH,beverage,replace_trolley_set
medium_haul,207,standard,2.55,0.86,7.02,9.02,3.87,wheelchair_kit,41.15,29.37,11.78,HIGH,wheelchair_kit,replace_trolley_set
short_haul,187,late_rotation,7.73,0.65,2.59,5.17,6.03,mixed_service,33.1,24.34,8.76,HIGH,standard_service,top_up_before_arrival
medium_haul,187,standard,7.86,0.28,6.63,1.17,8.03,mixed_service,48.31,23.47,24.84,ELEVATED,standard_service,top_up_before_arrival
medium_haul,212,standard,1.99,0.9,6.76,4.67,2.63,duty_free,38.36,44.22,0.0,LOW,duty_free,monitor_only
medium_haul,103,business_priority,1.11,0.49,6.41,4.08,4.17,beverage,38.96,22.49,16.47,HIGH,beverage,top_up_before_arrival
short_haul,158,late_rotation,9.65,0.55,8.04,9.04,2.73,beverage,38.75,13.78,24.97,HIGH,beverage,replace_trolley_set
long_haul,204,standard,7.58,0.95,3.17,2.97,7.28,mixed_service,51.45,50.48,0.97,LOW,long_haul_service,monitor_only
short_haul,219,late_rotation,8.67,0.26,8.95,6.37,2.03,beverage,43.79,10.02,33.77,HIGH,beverage,replace_trolley_set
short_haul,102,late_rotation,7.6,0.99,4.93,1.35,8.59,wheelchair_kit,27.93,50.86,0.0,LOW,wheelchair_kit,monitor_only
short_haul,130,business_priority,4.9,0.43,7.9,4.02,4.0,mixed_service,34.76,21.44,13.32,ELEVATED,premium_cabin,top_up_before_arrival
short_haul,174,standard,7.8,0.7,4.45,1.73,7.27,duty_free,32.75,40.0,0.0,LOW,duty_free,monitor_only
medium_haul,112,high_turnover,9.0,0.78,6.09,7.37,1.15,mixed_service,33.74,35.42,0.0,ELEVATED,standard_service,top_up_before_arrival
short_haul,162,high_turnover,4.0,0.83,4.01,7.5,9.39,mixed_service,33.32,34.0,0.0,ELEVATED,standard_service,top_up_before_arrival
long_haul,103,business_priority,2.35,0.7,8.82,2.26,4.67,mixed_service,45.89,42.58,3.3,LOW,premium_cabin,monitor_only
medium_haul,148,high_turnover,1.71,0.37,5.31,4.94,1.04,mixed_service,34.36,17.02,17.34,HIGH,standard_service,replace_trolley_set
long_haul,90,high_turnover,6.27,0.77,8.19,5.33,6.21,beverage,46.9,34.09,12.81,HIGH,beverage,replace_trolley_set
short_haul,184,business_priority,7.5,0.77,9.2,9.37,6.71,beverage,48.2,30.24,17.96,HIGH,beverage,replace_trolley_set
medium_haul,73,business_priority,3.17,0.61,7.1,3.83,6.93,duty_free,30.46,29.02,1.44,LOW,duty_free,monitor_only
long_haul,199,business_priority,4.13,0.74,4.14,8.24,6.6,duty_free,48.21,33.69,14.52,HIGH,duty_free,replace_trolley_set
long_haul,159,business_priority,0.53,0.79,6.81,6.24,1.06,mixed_service,44.6,34.17,10.44,HIGH,premium_cabin,replace_trolley_set
short_haul,180,standard,6.18,0.42,3.47,5.04,8.92,beverage,38.42,16.09,22.32,HIGH,beverage,replace_trolley_set
medium_haul,71,standard,3.93,0.38,2.32,1.57,5.32,wheelchair_kit,24.18,27.67,0.0,LOW,wheelchair_kit,monitor_only
medium_haul,203,late_rotation,5.19,0.34,3.81,4.67,1.94,meal,45.67,13.17,32.5,HIGH,meal,replace_trolley_set
short_haul,196,business_priority,1.57,0.95,7.22,4.76,2.08,meal,44.66,50.66,0.0,LOW,meal,monitor_only
medium_haul,163,late_rotation,6.47,0.87,8.35,7.33,7.68,meal,51.51,32.14,19.37,ELEVATED,meal,top_up_before_arrival
medium_haul,70,late_rotation,3.01,0.7,4.88,1.04,1.25,wheelchair_kit,24.37,41.52,0.0,LOW,wheelchair_kit,monitor_only
short_haul,140,late_rotation,7.46,0.69,8.05,4.79,9.09,mixed_service,39.33,28.51,10.81,ELEVATED,standard_service,top_up_before_arrival
short_haul,126,late_rotation,8.53,0.62,4.2,4.7,4.84,beverage,34.06,27.29,6.77,HIGH,beverage,replace_trolley_set
long_haul,81,standard,5.99,0.41,2.6,6.69,9.02,meal,43.54,16.49,27.04,HIGH,meal,replace_trolley_set
short_haul,163,standard,8.95,0.37,8.34,3.42,6.9,wheelchair_kit,38.04,22.3,15.74,HIGH,wheelchair_kit,replace_trolley_set
short_haul,174,late_rotation,7.28,0.34,7.34,6.84,4.61,wheelchair_kit,35.02,15.22,19.8,HIGH,wheelchair_kit,replace_trolley_set
medium_haul,192,late_rotation,5.37,0.95,9.2,1.51,6.87,mixed_service,47.31,44.34,2.97,LOW,standard_service,monitor_only
long_haul,208,late_rotation,4.4,0.52,9.06,4.36,1.05,duty_free,50.83,23.49,27.34,HIGH,duty_free,replace_trolley_set
medium_haul,150,late_rotation,5.42,0.5,2.2,6.93,1.36,meal,38.93,20.86,18.08,ELEVATED,meal,top_up_before_arrival
medium_haul,208,standard,4.56,0.98,2.11,2.09,1.21,duty_free,35.6,54.73,0.0,LOW,duty_free,monitor_only
long_haul,160,standard,3.97,0.41,2.51,7.36,3.75,wheelchair_kit,38.23,20.57,17.66,HIGH,wheelchair_kit,replace_trolley_set
long_haul,124,late_rotation,7.63,0.89,3.29,1.44,7.12,wheelchair_kit,36.1,47.59,0.0,LOW,wheelchair_kit,monitor_only
short_haul,114,late_rotation,7.11,0.76,8.16,3.44,1.43,duty_free,27.38,38.49,0.0,LOW,duty_free,monitor_only
medium_haul,97,standard,3.36,0.68,2.82,6.19,8.09,duty_free,29.8,31.93,0.0,LOW,duty_free,monitor_only
medium_haul,141,late_rotation,2.3,0.53,2.5,3.18,4.7,meal,37.15,26.89,10.26,LOW,meal,monitor_only
medium_haul,216,standard,8.88,0.41,6.42,7.9,8.37,meal,53.0,13.96,39.03,HIGH,meal,replace_trolley_set
medium_haul,204,standard,6.19,0.64,9.42,8.72,5.14,duty_free,45.28,24.06,21.22,HIGH,duty_free,replace_trolley_set
medium_haul,71,standard,1.11,0.9,5.16,7.59,6.96,beverage,32.26,46.09,0.0,LOW,beverage,monitor_only
short_haul,70,late_rotation,4.52,0.95,5.05,4.51,8.92,meal,33.0,40.01,0.0,LOW,meal,monitor_only
long_haul,182,business_priority,3.93,0.95,3.73,4.25,6.57,wheelchair_kit,43.13,46.99,0.0,ELEVATED,wheelchair_kit,monitor_only
short_haul,132,high_turnover,4.84,0.41,2.62,3.02,4.14,beverage,30.91,24.2,6.71,ELEVATED,beverage,top_up_before_arrival
medium_haul,179,business_priority,2.24,0.64,2.81,6.55,9.0,mixed_service,40.92,31.79,9.13,HIGH,premium_cabin,top_up_before_arrival
short_haul,120,high_turnover,7.25,0.4,2.62,5.08,1.12,beverage,27.73,18.78,8.95,HIGH,beverage,replace_trolley_set
short_haul,91,standard,0.64,0.57,1.93,4.32,3.87,wheelchair_kit,14.77,30.41,0.0,LOW,wheelchair_kit,monitor_only
medium_haul,120,high_turnover,3.25,0.92,2.95,5.5,3.41,wheelchair_kit,24.92,44.48,0.0,LOW,wheelchair_kit,monitor_only
long_haul,88,business_priority,5.26,0.91,5.43,2.09,3.26,duty_free,38.69,48.76,0.0,LOW,duty_free,monitor_only
short_haul,129,standard,3.14,0.68,4.62,3.04,4.28,beverage,31.59,36.79,0.0,LOW,beverage,monitor_only
long_haul,189,standard,0.95,0.33,6.33,5.01,1.45,mixed_service,44.36,20.48,23.87,HIGH,long_haul_service,replace_trolley_set
short_haul,134,late_rotation,3.04,0.4,3.89,8.73,5.97,wheelchair_kit,31.34,5.93,25.41,HIGH,wheelchair_kit,replace_trolley_set
medium_haul,82,standard,9.51,0.92,7.79,4.38,6.9,meal,43.88,45.26,0.0,LOW,meal,monitor_only
short_haul,148,standard,1.87,0.95,2.85,7.18,8.84,meal,33.79,39.19,0.0,LOW,meal,monitor_only
medium_haul,190,late_rotation,3.75,0.6,6.64,9.32,1.99,beverage,41.7,14.42,27.28,HIGH,beverage,replace_trolley_set
medium_haul,94,business_priority,0.25,0.98,7.73,2.28,2.38,beverage,33.39,47.31,0.0,LOW,beverage,monitor_only
short_haul,95,high_turnover,1.53,0.4,3.25,6.89,6.73,duty_free,23.18,15.64,7.54,HIGH,duty_free,replace_trolley_set
long_haul,177,late_rotation,5.02,0.96,5.77,3.17,6.54,mixed_service,49.97,42.13,7.84,ELEVATED,long_haul_service,top_up_before_arrival
short_haul,131,standard,3.13,0.28,2.5,5.22,1.65,duty_free,20.99,16.64,4.35,HIGH,duty_free,replace_trolley_set
short_haul,187,standard,7.46,0.36,5.41,4.79,6.82,mixed_service,35.6,23.02,12.58,ELEVATED,standard_service,top_up_before_arrival
long_haul,136,late_rotation,6.84,0.97,9.04,6.92,8.55,duty_free,46.78,41.14,5.64,LOW,duty_free,monitor_only
short_haul,145,standard,2.16,0.61,7.25,5.59,5.2,meal,40.57,28.43,12.14,HIGH,meal,replace_trolley_set
long_haul,92,business_priority,7.29,0.31,5.55,4.33,8.79,wheelchair_kit,39.04,13.9,25.14,HIGH,wheelchair_kit,replace_trolley_set
long_haul,99,high_turnover,8.96,0.68,6.65,3.16,2.09,duty_free,38.9,36.0,2.91,ELEVATED,duty_free,top_up_before_arrival
short_haul,155,business_priority,0.95,0.41,3.58,2.43,6.08,wheelchair_kit,27.24,24.67,2.57,ELEVATED,wheelchair_kit,top_up_before_arrival
medium_haul,72,business_priority,4.09,0.89,3.16,3.58,2.22,duty_free,25.15,49.72,0.0,LOW,duty_free,monitor_only
long_haul,205,late_rotation,5.37,0.99,1.96,3.35,5.94,mixed_service,47.31,44.4,2.91,LOW,long_haul_service,monitor_only
short_haul,200,high_turnover,1.39,0.71,3.03,8.3,3.75,beverage,34.46,24.61,9.85,HIGH,beverage,replace_trolley_set
medium_haul,161,standard,2.41,0.86,2.42,3.92,8.76,meal,40.45,40.45,0.0,LOW,meal,monitor_only
long_haul,90,late_rotation,9.19,0.81,1.48,2.95,7.6,mixed_service,38.5,40.35,0.0,ELEVATED,long_haul_service,top_up_before_arrival
short_haul,151,high_turnover,6.05,0.33,2.86,6.16,7.02,mixed_service,30.82,15.72,15.11,HIGH,standard_service,replace_trolley_set
medium_haul,162,high_turnover,8.4,0.3,5.47,4.46,2.14,mixed_service,39.42,18.11,21.3,HIGH,standard_service,replace_trolley_set
medium_haul,85,standard,1.76,0.66,6.37,9.3,6.08,beverage,35.46,22.47,12.98,HIGH,beverage,replace_trolley_set
long_haul,191,business_priority,6.0,0.89,5.34,4.59,3.56,duty_free,47.89,46.41,1.48,ELEVATED,duty_free,top_up_before_arrival
long_haul,89,late_rotation,6.49,0.75,2.12,4.87,2.63,duty_free,33.4,32.83,0.57,ELEVATED,duty_free,top_up_before_arrival
short_haul,150,standard,5.11,0.77,4.94,9.04,1.25,meal,36.5,30.96,5.54,ELEVATED,meal,top_up_before_arrival
short_haul,99,standard,6.36,0.68,8.25,3.21,8.29,wheelchair_kit,28.17,38.05,0.0,LOW,wheelchair_kit,monitor_only
medium_haul,187,late_rotation,4.44,0.95,2.69,2.53,8.53,meal,45.88,50.39,0.0,LOW,meal,monitor_only
medium_haul,183,late_rotation,2.39,0.49,9.28,3.07,1.68,beverage,43.66,21.15,22.51,ELEVATED,beverage,top_up_before_arrival
