passenger_load,arrival_delay,gate_congestion,malfunction_count,malfunction_severity,inventory_shortage,aircraft_type,route_class,assistance_request,refueling_required,weather_disturbance,maintenance_duration_proxy,catering_duration_proxy,cleaning_duration_proxy,boarding_duration_proxy,refueling_duration_proxy,dominant_bottleneck
134,63,7.08,0,1.89,1.07,A321,medium_haul,False,False,2.13,12.95,16.05,23.03,21.91,15.48,Cleaning
198,47,4.04,1,1.74,2.81,A321,long_haul,False,True,4.15,15.36,19.84,24.92,24.18,21.62,Cleaning
90,59,2.62,1,1.69,1.59,B737-800,short_haul,False,True,4.78,14.32,12.25,17.23,17.67,20.81,Refueling
146,73,2.5,0,0.0,3.12,A321,medium_haul,False,True,6.28,9.76,19.52,22.68,20.55,25.56,Refueling
137,3,2.78,4,6.88,3.06,A320neo,long_haul,False,True,4.52,30.65,18.73,16.35,15.7,18.0,Maintenance
96,42,1.8,0,5.66,4.53,B737-800,long_haul,False,True,2.78,19.47,21.08,16.77,17.16,19.0,Catering
113,24,6.22,0,4.98,3.21,B737-800,long_haul,False,False,0.17,20.6,19.82,20.87,19.96,11.6,Cleaning
182,81,8.14,1,1.86,1.19,A320neo,short_haul,True,True,0.12,14.17,16.6,27.51,28.21,20.88,Boarding
196,32,3.53,0,4.04,1.09,A320neo,short_haul,True,True,1.37,17.33,14.43,23.0,22.54,16.86,Cleaning
188,53,6.9,1,3.24,6.65,A321,long_haul,False,True,5.89,19.52,26.23,23.29,24.75,26.12,Catering
211,75,5.84,2,5.61,4.12,B737-800,short_haul,False,False,5.93,29.83,21.77,24.6,24.93,18.46,Maintenance
153,47,0.6,1,3.14,3.47,A320neo,medium_haul,False,True,6.35,18.69,18.45,20.19,19.44,22.87,Refueling
194,69,2.49,4,3.25,2.38,B737-800,short_haul,False,False,6.84,24.24,17.38,22.4,21.49,19.4,Maintenance
193,21,4.23,2,2.1,6.36,A320neo,long_haul,False,True,7.33,18.34,25.99,24.73,21.05,21.59,Catering
90,28,4.79,1,3.81,8.74,A321,short_haul,False,True,2.07,21.32,24.4,16.29,18.1,19.58,Catering
161,56,5.82,2,4.2,1.74,E195-E2,long_haul,True,True,5.13,23.68,19.34,21.87,21.52,19.4,Maintenance
111,47,5.01,2,4.5,8.82,B737-800,long_haul,False,True,3.95,23.91,26.05,18.22,18.4,20.79,Catering
135,71,6.03,3,1.75,5.72,A320neo,short_haul,False,True,1.03,17.56,21.49,24.53,22.15,21.73,Cleaning
113,28,6.49,1,2.02,6.0,A321,short_haul,True,True,0.47,13.16,23.61,19.71,22.73,19.94,Catering
116,10,3.09,0,2.25,6.49,A320neo,short_haul,True,True,0.6,14.85,23.26,18.13,17.54,16.73,Catering
137,59,2.21,0,4.66,6.15,B737-800,short_haul,False,True,5.73,22.23,21.06,21.31,18.82,22.57,Refueling
177,19,8.35,1,2.05,2.13,A321,short_haul,False,True,5.41,16.82,20.4,22.37,23.79,23.02,Boarding
97,18,6.22,1,2.58,1.76,B737-800,medium_haul,False,False,3.4,15.57,15.1,17.87,19.86,14.19,Boarding
205,30,0.92,0,2.42,0.06,E195-E2,short_haul,True,True,5.3,14.59,15.25,20.27,22.23,23.07,Refueling
152,47,3.86,1,4.64,7.34,E195-E2,short_haul,False,True,4.01,22.21,23.3,21.37,18.77,20.37,Catering
99,39,4.27,4,7.25,7.98,E195-E2,short_haul,True,True,3.57,29.89,23.77,15.56,21.37,20.22,Maintenance
93,13,3.1,2,5.64,9.32,A321,medium_haul,True,True,3.46,26.14,25.29,16.92,16.32,19.75,Maintenance
161,8,6.72,2,3.4,6.94,B737-800,short_haul,False,True,0.06,19.11,23.84,17.81,21.55,16.53,Catering
70,56,2.95,2,0.0,8.2,A321,long_haul,True,True,4.69,12.21,26.61,17.96,19.06,20.49,Catering
79,68,0.98,2,2.6,6.48,B737-800,medium_haul,False,True,6.27,18.3,21.1,20.29,15.36,24.21,Refueling
130,51,1.17,3,5.75,2.34,B737-800,medium_haul,False,True,2.49,25.99,20.44,18.13,18.5,18.02,Maintenance
152,41,1.36,1,6.56,9.07,B737-800,long_haul,False,True,2.3,23.35,26.51,21.43,17.2,20.21,Catering
197,48,5.95,3,3.18,9.01,A321,short_haul,False,False,6.24,23.57,28.61,24.32,21.74,19.5,Catering
86,59,7.82,1,2.89,2.24,A320neo,long_haul,True,True,7.0,16.44,16.92,20.85,24.42,24.6,Refueling
142,38,5.76,2,4.78,2.32,A320neo,medium_haul,True,True,1.58,23.06,16.69,20.0,22.8,16.52,Maintenance
183,56,5.21,2,4.44,9.12,E195-E2,long_haul,False,False,2.72,19.99,28.99,24.36,25.29,14.69,Catering
213,59,3.16,1,0.73,0.95,A321,medium_haul,False,True,6.88,13.42,18.18,26.38,23.55,26.18,Cleaning
213,64,7.17,1,4.13,8.63,E195-E2,long_haul,False,True,4.23,21.87,29.86,24.93,26.3,20.7,Catering
202,51,1.63,0,4.12,5.77,B737-800,long_haul,False,False,2.81,18.52,26.57,20.97,22.17,14.45,Catering
211,67,6.51,2,5.63,0.79,A321,medium_haul,True,True,0.24,24.52,19.79,28.15,26.18,20.08,Cleaning
95,81,6.35,1,5.51,3.26,B737-800,medium_haul,False,False,0.19,19.7,15.77,21.55,22.43,15.36,Boarding
178,56,5.17,1,2.9,0.37,A321,long_haul,False,True,3.88,17.91,18.83,25.95,20.22,24.53,Cleaning
198,19,8.2,0,2.29,4.64,A321,short_haul,False,True,2.95,12.05,22.41,18.99,21.64,19.5,Catering
179,28,2.08,2,4.14,5.46,A320neo,medium_haul,True,True,0.12,20.2,21.73,20.27,21.8,15.22,Boarding
157,34,1.62,0,2.36,5.07,E195-E2,long_haul,True,True,3.27,14.01,21.46,21.01,19.56,20.63,Catering
174,6,8.86,3,4.96,3.96,A321,medium_haul,True,True,3.32,25.52,21.46,21.08,24.59,21.4,Maintenance
166,9,5.6,0,0.79,5.55,B737-800,short_haul,False,True,6.34,11.71,21.82,20.34,19.37,22.87,Refueling
152,27,6.81,1,4.19,1.73,B737-800,long_haul,False,True,4.31,19.7,18.16,20.43,23.05,21.99,Boarding
151,23,4.6,0,1.34,6.76,A321,short_haul,False,True,3.68,14.11,23.34,18.23,20.91,18.88,Catering
113,82,4.48,3,4.7,8.07,B737-800,long_haul,False,True,7.89,27.9,25.7,25.23,20.37,26.87,Maintenance
108,84,9.43,0,3.19,9.56,A321,medium_haul,False,True,3.5,19.3,27.22,21.46,24.89,27.37,Refueling
133,52,4.43,0,3.56,8.71,B737-800,medium_haul,False,True,6.7,17.99,24.5,21.31,20.51,25.48,Refueling
128,19,1.86,0,1.37,4.25,B737-800,short_haul,True,False,6.68,9.88,16.59,19.01,17.02,17.06,Cleaning
205,34,4.42,1,6.39,4.87,A320neo,short_haul,False,True,3.65,24.43,21.31,23.81,22.21,19.86,Maintenance
200,66,6.97,2,4.92,8.59,A321,medium_haul,True,False,6.76,23.83,30.0,25.74,27.18,20.34,Catering
219,33,4.97,0,0.16,4.75,A321,short_haul,False,True,7.99,12.5,22.16,21.9,21.3,23.31,Refueling
72,49,1.37,1,5.37,4.48,B737-800,medium_haul,False,True,1.85,22.11,17.09,12.4,17.07,19.21,Maintenance
197,12,4.46,1,4.1,0.16,E195-E2,medium_haul,False,True,5.52,20.85,15.19,20.78,20.17,23.35,Refueling
92,32,7.88,3,2.7,6.67,E195-E2,short_haul,True,False,6.45,20.26,22.82,17.11,20.83,19.66,Catering
170,14,5.05,1,4.66,2.7,B737-800,long_haul,True,True,0.64,20.93,18.39,22.34,22.65,15.54,Boarding
142,35,6.72,0,3.38,7.05,E195-E2,long_haul,False,True,4.12,17.11,25.78,22.83,23.29,20.42,Catering
137,34,3.21,1,0.13,0.22,A321,short_haul,False,False,3.87,8.32,11.87,17.63,19.67,15.68,Boarding
149,30,9.28,4,8.64,6.49,A320neo,short_haul,False,False,4.74,38.5,23.81,20.55,22.52,16.09,Maintenance
167,23,5.81,5,8.43,9.22,A321,short_haul,False,True,6.95,38.95,26.34,20.57,19.09,23.12,Maintenance
187,61,0.74,2,3.64,1.53,A321,medium_haul,True,True,6.17,20.15,18.62,23.77,21.68,23.02,Cleaning
199,73,7.97,1,0.11,4.43,A321,long_haul,False,True,6.22,13.22,24.32,26.41,27.92,26.53,Boarding
150,42,5.96,1,2.15,0.42,A321,short_haul,False,True,1.52,14.51,13.75,20.11,22.0,22.58,Refueling
211,83,1.38,4,3.4,6.68,A320neo,short_haul,False,True,1.46,21.11,24.43,26.32,20.38,19.17,Cleaning
107,28,4.06,1,2.01,5.69,E195-E2,short_haul,False,False,6.11,15.95,21.08,18.61,18.8,19.83,Catering
214,59,8.17,3,1.82,3.66,A321,short_haul,False,True,7.05,21.78,22.7,23.33,25.4,28.33,Refueling
105,56,3.53,0,2.02,6.85,B737-800,medium_haul,False,True,7.71,14.25,24.29,19.0,16.49,23.81,Catering
72,13,2.56,1,4.91,0.57,A320neo,long_haul,False,True,5.01,21.23,13.48,15.67,14.19,19.9,Maintenance
82,61,5.07,4,4.26,9.0,A320neo,medium_haul,False,True,6.92,26.47,23.8,19.14,21.26,22.65,Maintenance
164,80,2.28,1,2.92,5.96,A321,short_haul,False,True,4.03,18.45,22.25,23.38,18.62,23.24,Cleaning
87,36,7.35,1,5.58,8.27,A321,short_haul,False,True,3.43,24.48,23.23,15.47,17.93,20.44,Maintenance
105,58,5.32,1,6.13,3.12,A320neo,long_haul,False,True,5.58,26.6,18.99,20.03,19.14,24.38,Maintenance
195,81,6.42,3,5.03,0.68,B737-800,long_haul,False,True,7.62,29.52,19.1,27.46,26.83,27.09,Maintenance
73,68,8.3,0,1.5,7.4,E195-E2,short_haul,True,True,8.0,15.4,22.57,20.43,21.73,25.22,Refueling
95,60,7.18,1,3.24,0.58,A321,short_haul,False,True,0.46,18.14,13.84,17.28,22.6,18.06,Boarding
77,51,9.09,4,2.54,3.19,A320neo,long_haul,True,False,3.24,20.79,19.36,21.18,22.83,17.53,Boarding
142,83,1.73,0,2.87,6.56,B737-800,short_haul,False,True,1.97,15.86,21.91,23.25,18.85,21.16,Cleaning
194,26,8.32,0,1.99,1.35,B737-800,long_haul,False,True,0.9,13.29,19.05,24.77,26.53,17.71,Boarding
82,68,7.19,2,5.57,3.96,A320neo,medium_haul,True,True,2.32,23.76,19.21,20.0,26.04,21.8,Boarding
134,32,8.12,1,1.39,8.67,A321,long_haul,False,True,6.36,13.69,26.76,20.55,22.97,24.06,Catering
113,60,6.79,2,3.66,6.39,E195-E2,medium_haul,False,True,3.32,22.12,21.56,18.52,22.24,23.16,Refueling
84,6,6.16,0,5.09,7.11,E195-E2,short_haul,False,True,7.27,24.21,24.14,15.24,16.73,23.75,Maintenance
163,47,8.28,2,5.33,0.12,A320neo,medium_haul,False,True,3.52,27.22,14.64,22.44,25.52,22.0,Maintenance
211,20,7.95,2,3.26,6.2,B737-800,short_haul,False,False,0.71,19.19,23.4,21.17,23.28,14.75,Catering
158,82,7.15,2,4.27,0.14,B737-800,long_haul,False,True,7.05,26.66,15.79,26.31,22.76,27.2,Refueling
142,9,4.05,1,3.28,6.05,B737-800,medium_haul,False,False,1.48,16.34,21.34,17.04,17.15,11.41,Catering
72,52,8.3,5,6.05,8.06,B737-800,long_haul,False,False,4.16,33.32,26.26,20.96,19.08,17.71,Maintenance
178,83,8.9,0,3.76,4.02,A320neo,short_haul,False,True,0.76,19.01,21.78,25.0,25.67,20.63,Boarding
90,79,1.53,2,2.5,0.14,A321,medium_haul,False,True,5.01,19.14,14.13,21.58,17.56,23.35,Refueling
154,52,1.79,2,2.59,4.73,A321,short_haul,True,True,7.47,19.52,19.42,22.14,20.73,26.65,Refueling
187,71,7.14,1,0.0,1.52,A321,short_haul,True,True,6.61,13.82,15.51,24.61,27.0,27.5,Refueling
151,32,1.95,1,4.34,5.18,A320neo,short_haul,True,True,7.55,22.06,18.73,19.73,21.12,21.7,Maintenance
89,21,1.37,1,4.01,4.95,E195-E2,long_haul,False,True,5.16,23.83,20.54,16.66,15.77,18.77,Maintenance
154,79,8.72,0,1.87,9.22,E195-E2,short_haul,False,True,5.93,14.25,30.6,22.61,26.29,27.38,Catering
101,41,4.36,2,3.98,6.08,A320neo,short_haul,False,True,7.49,24.58,22.18,16.22,17.24,24.29,Maintenance
108,28,5.64,0,6.2,4.7,B737-800,long_haul,False,True,0.22,20.69,19.25,20.17,18.39,14.03,Maintenance
111,1,2.59,0,1.57,2.69,E195-E2,short_haul,False,True,6.65,13.53,16.11,15.89,17.53,18.54,Refueling
122,65,3.59,0,2.13,5.47,A320neo,short_haul,False,True,7.21,13.33,21.74,20.53,17.57,26.62,Refueling
116,46,3.87,4,7.97,4.78,A321,short_haul,True,True,3.15,32.88,17.99,16.67,20.24,19.63,Maintenance
95,64,3.92,1,4.85,8.65,B737-800,short_haul,False,True,1.96,18.86,25.85,21.03,19.28,20.21,Catering
79,80,5.25,2,6.3,8.79,A320neo,medium_haul,False,False,6.99,30.82,25.44,21.3,21.47,20.9,Maintenance
183,22,6.81,2,0.67,8.1,A320neo,medium_haul,False,True,0.46,14.58,29.46,21.72,21.78,17.09,Catering
104,18,8.21,0,1.52,2.18,E195-E2,medium_haul,False,True,5.8,16.27,17.11,16.16,19.45,23.64,Refueling
142,35,4.42,0,0.66,3.91,B737-800,short_haul,True,True,3.18,9.91,17.68,18.35,20.13,21.04,Refueling
121,32,3.37,0,3.32,7.19,B737-800,short_haul,False,False,6.0,19.75,24.24,19.97,16.01,16.71,Catering
144,28,3.07,1,4.2,7.52,A321,medium_haul,False,True,5.85,19.01,22.69,17.7,19.44,24.15,Refueling
148,75,4.89,1,2.33,4.42,B737-800,short_haul,False,True,0.44,15.77,20.91,20.99,21.38,21.5,Refueling
123,43,2.51,1,5.08,2.85,A321,long_haul,False,True,3.87,23.48,18.64,20.84,20.7,20.0,Maintenance
162,4,1.09,0,2.95,0.36,A321,long_haul,True,False,3.88,13.12,14.77,16.46,19.16,14.77,Boarding
214,9,6.57,4,4.47,4.08,E195-E2,short_haul,False,True,6.45,29.36,22.66,21.79,22.41,22.57,Maintenance
146,2,7.64,1,5.39,3.43,B737-800,short_haul,False,True,4.0,25.35,20.59,18.4,20.57,20.14,Maintenance
212,37,9.23,1,0.0,0.48,E195-E2,short_haul,False,True,7.84,14.43,13.53,22.01,27.33,27.35,Refueling
210,16,6.58,0,3.79,0.71,A320neo,medium_haul,False,False,1.36,16.28,18.99,22.48,20.85,14.36,Cleaning
135,80,4.38,0,0.0,4.87,E195-E2,short_haul,False,True,4.64,9.99,18.31,22.0,21.41,24.55,Refueling
179,21,7.17,2,4.94,2.85,B737-800,short_haul,False,True,7.74,27.02,20.39,21.93,20.37,25.01,Maintenance
79,65,9.37,3,3.99,9.49,A321,medium_haul,True,True,1.05,24.41,27.18,21.39,24.1,22.13,Catering
171,25,9.25,0,4.49,5.43,A321,medium_haul,False,True,1.88,18.08,22.98,20.56,24.71,18.75,Boarding
210,63,2.41,0,5.97,6.1,A320neo,medium_haul,False,True,1.46,21.28,24.97,23.73,22.8,20.66,Catering
138,80,8.98,1,2.83,2.14,B737-800,short_haul,False,False,4.76,18.06,17.37,25.6,23.61,20.77,Cleaning
174,5,3.29,2,4.89,0.76,A320neo,medium_haul,False,True,1.36,23.19,16.64,22.16,17.45,18.04,Maintenance
87,25,9.1,1,2.33,1.76,A321,short_haul,True,True,6.99,18.07,14.08,15.46,23.45,24.2,Refueling
129,31,5.77,1,4.69,3.19,B737-800,short_haul,False,True,7.26,23.82,19.24,17.49,18.74,22.21,Maintenance
85,2,8.55,1,4.84,7.42,E195-E2,medium_haul,False,True,6.06,23.4,25.26,16.89,18.83,23.82,Catering
203,0,3.19,3,2.59,3.43,A321,medium_haul,False,True,2.94,18.71,19.02,19.19,19.86,18.9,Boarding
152,7,9.11,2,4.11,0.51,B737-800,short_haul,True,True,4.38,21.39,16.13,18.18,25.0,22.76,Boarding
76,38,2.05,3,5.23,6.85,A321,medium_haul,False,False,4.81,27.08,20.88,13.42,17.03,16.4,Maintenance
147,0,4.14,1,2.9,1.76,E195-E2,short_haul,False,True,1.17,13.96,15.38,16.71,17.25,18.46,Refueling
116,53,7.41,2,6.91,8.2,A321,long_haul,False,False,6.39,28.78,29.61,23.08,22.27,19.61,Catering
70,55,6.3,2,4.14,7.28,A320neo,medium_haul,False,True,0.92,22.61,20.97,20.87,20.87,19.07,Maintenance
145,56,6.85,1,3.45,6.3,A320neo,short_haul,False,False,7.89,18.71,26.44,21.29,22.36,22.03,Catering
173,60,9.35,1,2.3,2.98,B737-800,long_haul,False,True,0.88,16.88,23.39,24.02,24.93,20.6,Boarding
157,5,6.19,1,2.83,0.22,A321,long_haul,True,True,5.22,15.59,19.73,20.1,23.36,23.92,Refueling
79,31,6.38,3,6.7,6.34,E195-E2,short_haul,False,True,2.42,29.0,22.25,19.81,17.91,18.12,Maintenance
109,34,6.83,1,0.31,3.7,A320neo,short_haul,True,True,0.66,10.83,18.94,18.29,23.65,18.4,Boarding
117,20,8.37,1,3.46,7.95,B737-800,short_haul,False,True,3.8,15.89,26.44,16.63,22.36,24.82,Catering
78,59,4.73,1,6.47,4.28,A320neo,short_haul,False,False,3.11,28.05,17.05,16.39,17.24,18.53,Maintenance
189,78,3.41,4,5.94,4.9,A320neo,long_haul,False,True,4.33,30.98,23.6,22.14,21.33,22.89,Maintenance
73,20,2.33,3,6.07,6.3,E195-E2,medium_haul,False,False,3.21,27.18,20.42,14.77,14.2,12.89,Maintenance
207,8,1.17,0,0.0,7.59,E195-E2,medium_haul,False,True,2.27,5.52,25.4,17.45,20.86,14.7,Catering
76,33,6.01,2,4.33,2.61,B737-800,medium_haul,False,True,3.71,23.1,15.68,21.58,18.96,21.92,Maintenance
168,32,5.43,0,4.32,0.13,A320neo,medium_haul,False,True,3.18,20.26,15.11,18.81,22.93,21.35,Boarding
189,69,5.13,1,7.36,6.18,A321,short_haul,False,True,0.21,25.76,24.64,22.27,24.16,20.16,Maintenance
154,3,4.71,3,4.1,1.4,A321,medium_haul,True,True,3.51,24.43,16.28,17.19,21.49,19.8,Maintenance
157,55,2.8,1,2.53,4.94,A321,medium_haul,False,True,3.26,15.08,19.52,21.57,20.42,21.16,Cleaning
79,28,9.17,2,1.47,4.76,E195-E2,long_haul,False,True,5.71,18.02,22.35,18.26,21.0,23.4,Refueling
175,73,7.87,5,3.81,7.24,A321,medium_haul,False,True,2.6,27.67,25.66,23.93,24.84,22.78,Maintenance
165,4,2.71,0,4.32,5.02,A320neo,short_haul,True,True,4.15,19.71,20.03,18.15,17.71,19.16,Catering
133,68,0.73,0,4.03,8.95,A321,short_haul,False,True,2.79,16.23,23.8,20.32,16.61,23.55,Catering
152,23,5.52,1,1.38,8.26,B737-800,medium_haul,False,False,6.33,16.93,25.5,20.43,21.72,16.77,Catering
82,51,0.69,5,6.9,0.22,A320neo,short_haul,False,True,6.19,33.34,13.91,17.46,15.72,22.54,Maintenance
113,23,6.11,0,0.2,0.85,B737-800,long_haul,False,True,4.77,10.85,16.45,18.5,21.83,21.56,Boarding
199,28,1.41,1,2.66,4.84,B737-800,medium_haul,True,True,1.36,15.33,22.13,24.14,22.37,14.75,Cleaning
93,50,5.89,0,3.91,4.42,A321,short_haul,False,True,1.5,16.9,16.47,21.82,18.82,19.79,Cleaning
136,77,7.19,2,2.53,6.76,B737-800,short_haul,False,True,5.99,19.94,23.82,23.69,24.09,26.16,Refueling
142,84,0.59,0,6.51,6.64,E195-E2,long_haul,False,True,2.29,21.9,25.19,23.18,19.22,21.11,Catering
206,15,4.7,1,0.0,8.76,A320neo,short_haul,False,True,4.05,10.65,25.81,22.32,19.48,20.67,Catering
110,38,6.81,0,2.38,6.98,A321,medium_haul,False,True,6.08,15.9,22.42,17.7,19.43,24.44,Refueling
170,21,1.53,1,3.77,5.13,A320neo,short_haul,False,True,4.57,16.64,20.72,21.62,17.64,17.96,Cleaning
117,77,4.9,3,3.31,9.08,A320neo,short_haul,False,False,2.65,23.39,24.78,22.05,19.65,16.12,Catering
163,56,8.84,0,3.79,7.69,B737-800,short_haul,False,True,6.32,18.34,28.51,20.75,26.12,27.33,Catering
77,29,7.07,1,2.58,2.1,B737-800,medium_haul,False,True,6.52,14.41,17.04,19.08,18.12,23.02,Refueling
185,81,7.79,0,1.81,8.69,B737-800,short_haul,False,True,1.37,12.2,26.12,23.14,25.3,21.51,Catering
80,49,5.13,0,0.0,1.12,A321,long_haul,False,True,0.6,8.48,15.09,20.39,17.56,18.32,Cleaning
140,10,0.81,1,6.08,5.26,B737-800,short_haul,False,True,1.36,22.3,18.16,13.95,14.59,15.9,Maintenance
105,41,4.83,0,0.82,7.34,A321,short_haul,False,True,1.5,9.35,23.7,20.98,19.56,19.67,Catering
114,38,3.56,1,2.69,4.15,A321,short_haul,False,True,0.42,15.94,17.63,17.39,18.19,18.98,Refueling
98,11,3.22,1,0.0,4.54,A320neo,medium_haul,False,True,3.75,10.53,19.88,16.56,17.32,17.62,Catering
86,68,0.75,2,3.27,2.82,A321,medium_haul,False,True,6.37,24.77,14.58,18.47,15.78,23.4,Maintenance
178,54,7.34,2,6.04,5.1,A321,short_haul,True,True,0.93,24.93,24.45,18.85,25.1,20.3,Boarding
93,52,7.77,3,5.52,3.8,A321,short_haul,True,True,6.2,29.67,16.03,17.67,22.83,22.63,Maintenance
139,46,9.34,4,4.67,2.49,A321,short_haul,True,True,7.31,30.32,17.81,21.37,23.85,26.04,Maintenance
96,46,7.35,4,2.49,6.13,A320neo,short_haul,False,True,2.36,23.87,20.89,21.18,22.82,22.6,Maintenance
181,28,7.27,1,3.19,2.69,A320neo,long_haul,False,True,3.81,16.6,19.87,22.92,25.26,21.89,Boarding
168,5,2.06,3,6.85,1.24,B737-800,medium_haul,True,True,1.5,28.47,18.32,19.64,18.87,15.98,Maintenance
185,72,8.84,0,1.76,6.19,A320neo,medium_haul,False,True,4.35,14.84,26.89,25.71,28.8,26.6,Boarding
120,74,1.5,1,0.01,4.12,E195-E2,long_haul,False,True,3.34,9.39,21.1,22.84,19.5,20.79,Cleaning
110,11,1.58,0,0.0,3.83,A320neo,long_haul,False,True,3.32,9.45,19.44,18.13,15.75,14.71,Catering
166,38,4.83,0,1.46,6.6,A321,short_haul,False,False,7.66,11.69,23.84,19.84,19.26,19.68,Catering
157,75,4.8,0,0.75,0.27,E195-E2,long_haul,False,True,3.79,12.76,15.89,24.94,22.11,21.85,Cleaning
172,57,6.5,2,0.14,0.46,B737-800,long_haul,False,True,2.63,11.54,16.8,25.09,25.44,20.88,Boarding
95,24,2.09,0,2.45,8.15,A321,medium_haul,False,True,3.49,14.07,22.82,15.05,14.77,17.99,Catering
140,81,1.27,2,3.43,3.58,E195-E2,medium_haul,False,True,6.27,19.7,17.88,22.15,21.4,25.13,Refueling
90,21,6.49,4,4.8,4.31,B737-800,long_haul,False,True,4.38,26.62,20.35,18.0,19.59,20.37,Maintenance
130,83,7.31,1,3.57,6.81,B737-800,short_haul,False,False,0.11,18.17,25.62,23.61,22.3,14.95,Catering
193,70,4.77,2,3.91,7.1,A321,long_haul,True,True,1.02,23.3,26.73,27.95,25.97,21.87,Cleaning
129,22,7.58,2,2.09,5.53,A320neo,short_haul,False,True,5.02,17.16,22.46,15.82,18.5,22.85,Refueling
188,46,0.69,0,4.99,2.87,E195-E2,long_haul,True,True,3.8,19.74,18.85,21.16,20.9,21.25,Refueling
214,24,1.69,3,2.65,8.51,A320neo,long_haul,False,True,1.53,19.2,27.86,20.8,19.42,15.12,Catering
126,69,6.97,4,7.48,4.4,B737-800,short_haul,True,True,1.62,31.16,18.02,22.04,22.39,21.42,Maintenance
137,25,1.26,4,5.68,8.18,E195-E2,short_haul,False,False,3.35,27.77,25.13,18.47,17.67,13.97,Maintenance
173,82,3.73,6,8.56,3.39,A321,short_haul,False,True,0.19,38.46,20.59,22.26,20.86,19.83,Maintenance
213,14,9.2,3,3.14,1.45,A320neo,long_haul,False,True,7.89,22.01,21.05,25.04,26.84,22.32,Boarding
186,37,9.15,2,4.34,6.89,A320neo,short_haul,True,True,3.78,24.52,25.63,22.73,25.33,23.51,Catering
201,41,1.58,1,3.07,7.67,B737-800,long_haul,False,True,2.24,16.96,27.02,24.48,19.91,18.71,Catering
202,28,4.49,1,5.93,3.36,B737-800,long_haul,False,True,6.81,25.39,23.39,22.98,20.2,24.41,Maintenance
149,68,3.54,1,4.46,8.4,A320neo,long_haul,False,True,3.9,19.04,28.46,22.96,23.7,19.77,Catering
133,77,7.72,2,3.14,2.71,E195-E2,short_haul,True,True,5.39,19.62,18.26,21.02,24.38,26.3,Refueling
215,8,4.79,2,1.72,1.24,A320neo,medium_haul,False,False,3.97,16.09,16.62,20.38,21.21,14.21,Boarding
209,68,9.03,0,3.48,2.56,A321,medium_haul,False,True,2.0,16.03,23.85,29.09,24.29,23.35,Cleaning
76,73,8.79,0,0.92,6.38,E195-E2,medium_haul,False,True,1.02,10.74,20.62,18.1,22.64,19.74,Boarding
208,54,3.84,0,3.75,5.13,B737-800,short_haul,False,True,5.79,19.92,22.6,23.77,20.82,24.13,Refueling
91,17,2.0,1,1.11,1.66,B737-800,medium_haul,False,True,3.61,12.76,14.36,15.17,15.56,19.79,Refueling
159,69,5.57,3,4.65,6.32,B737-800,long_haul,False,True,0.65,22.56,24.37,24.0,22.02,19.45,Catering
108,21,9.45,1,2.81,3.71,A321,medium_haul,False,True,5.63,19.14,19.7,17.05,21.05,24.31,Refueling
173,70,6.17,1,5.08,8.99,A321,short_haul,True,False,5.52,20.93,28.0,24.11,24.69,20.76,Catering
175,36,8.33,1,4.36,4.42,A321,medium_haul,False,True,6.54,21.11,20.98,23.02,23.82,26.1,Refueling
167,0,8.75,2,0.0,3.96,E195-E2,medium_haul,False,True,7.06,12.61,20.42,19.87,23.82,22.85,Boarding
