aircraft_type,component_type,aircraft_age_cycles,flight_duration_hr,cabin_temperature,humidity,passenger_load,cycles_since_install,wear_index,malfunction_count,malfunction_severity,environmental_stress,weibull_hazard_proxy,failure_next_n_flights,remaining_flights_estimate,urgency_class
B737-800,seat_power_unit,27643,2.51,17.7,42.18,101,486,38.29,0,2.44,2.1,0.0102,0,45,OK
B737-800,seat_power_unit,23273,1.8,26.71,33.08,126,2557,22.95,1,0.0,1.54,0.3148,1,38,PLAN
B737-800,lavatory_sensor,28269,2.83,21.29,49.8,170,2359,5.0,1,4.21,2.95,0.2561,0,19,PLAN
A320neo,ife_display,5916,2.52,32.16,31.46,76,176,41.27,2,4.01,4.45,0.0015,1,44,OK
A320neo,galley_chiller,21328,5.45,22.25,51.09,107,1573,50.29,4,7.73,1.96,0.288,0,9,SOON
A321,lavatory_sensor,30984,3.03,26.63,52.53,118,545,28.28,1,5.3,2.67,0.0222,0,34,PLAN
A320neo,galley_chiller,17906,4.02,22.29,49.55,175,3884,72.8,1,2.44,1.41,0.9946,1,0,CRITICAL
A321,seat_power_unit,29361,5.1,31.79,36.01,209,3298,29.16,2,8.51,6.48,0.6177,1,0,CRITICAL
E195-E2,galley_chiller,12624,3.79,20.95,66.02,159,4083,64.43,2,5.6,1.21,0.9975,1,0,CRITICAL
A320neo,cabin_light_driver,28083,2.05,27.66,39.67,143,2031,55.54,1,1.44,1.28,0.2801,0,36,PLAN
A320neo,lavatory_sensor,29274,3.69,25.51,40.65,118,1388,87.17,5,3.89,3.13,0.2558,1,32,PLAN
A320neo,seat_power_unit,20348,2.75,24.62,37.76,189,3930,57.72,2,0.38,2.41,0.8025,1,10,SOON
A320neo,ife_display,22669,2.84,23.92,25.57,85,1299,21.97,1,5.12,0.9,0.0968,0,32,OK
B737-800,cabin_light_driver,17542,5.4,20.33,52.25,88,1736,66.98,3,3.9,0.56,0.2267,0,36,OK
B737-800,cabin_light_driver,11738,2.18,16.0,31.7,99,600,78.56,0,1.69,1.47,0.0335,1,51,OK
B737-800,lavatory_sensor,17923,3.06,27.3,48.12,108,3379,16.1,3,3.69,2.41,0.559,1,11,SOON
B737-800,seat_power_unit,29940,1.64,21.04,50.76,136,543,59.5,0,2.66,2.16,0.0175,0,45,OK
A321,galley_chiller,3221,1.72,27.68,44.64,207,203,63.49,1,5.39,3.57,0.0014,1,39,OK
B737-800,galley_chiller,8583,3.68,24.41,30.39,164,3426,44.17,1,1.39,1.5,0.9304,0,13,SOON
A320neo,seat_power_unit,16885,4.35,27.8,34.25,125,3457,5.0,1,1.82,1.97,0.4188,1,23,PLAN
A320neo,seat_power_unit,12371,3.83,26.21,12.0,100,3508,42.67,3,5.69,1.64,0.6472,0,5,CRITICAL
A320neo,galley_chiller,20390,2.41,16.0,36.72,164,3530,37.54,5,5.48,2.05,0.9328,1,0,CRITICAL
B737-800,ife_display,12967,1.17,25.46,46.83,106,632,75.54,1,4.8,1.67,0.0366,0,45,OK
A321,galley_chiller,21375,3.06,21.63,35.39,211,1522,46.41,3,4.55,0.79,0.2384,1,24,PLAN
A320neo,ife_display,5798,3.22,27.66,31.51,139,3151,40.58,3,7.68,1.64,0.7102,1,0,CRITICAL
A321,galley_chiller,12166,4.44,25.36,34.72,149,1310,37.44,4,6.38,1.63,0.1554,0,23,PLAN
A320neo,seat_power_unit,22337,3.85,25.41,51.37,201,3204,53.86,0,5.41,3.38,0.652,0,1,CRITICAL
B737-800,cabin_light_driver,16090,4.91,21.91,37.4,114,3736,49.02,3,5.78,0.0,0.6011,1,5,CRITICAL
A321,ife_display,22925,4.5,19.35,58.44,138,3943,33.78,4,6.44,0.98,0.8514,1,0,CRITICAL
A321,galley_chiller,20743,2.58,21.27,31.72,147,3201,52.75,3,4.1,0.23,0.8992,1,0,CRITICAL
A320neo,cabin_light_driver,12063,3.81,16.0,40.39,109,3280,37.97,0,5.3,2.78,0.4998,1,14,PLAN
B737-800,cabin_light_driver,14878,4.34,20.64,33.23,77,2475,5.0,1,4.14,1.3,0.1851,0,37,OK
A321,cabin_light_driver,30004,5.3,17.14,60.82,111,375,60.02,7,5.33,4.34,0.0134,1,31,PLAN
A320neo,seat_power_unit,29932,2.84,17.25,39.98,86,1822,58.32,1,0.0,1.39,0.2323,0,47,OK
A320neo,lavatory_sensor,3803,3.88,23.47,61.41,167,3911,51.6,0,3.45,2.2,0.8497,0,6,SOON
E195-E2,cabin_light_driver,22693,2.71,25.14,33.38,71,3744,40.04,1,6.46,0.0,0.5691,1,14,SOON
E195-E2,cabin_light_driver,16645,4.29,22.87,54.8,115,1024,46.7,4,3.77,1.77,0.0736,0,34,OK
B737-800,galley_chiller,2835,5.1,21.0,39.3,198,3078,62.75,2,3.21,0.93,0.9056,0,0,CRITICAL
A320neo,cabin_light_driver,20682,5.13,19.21,47.2,152,1300,36.63,4,4.83,0.0,0.0917,0,32,PLAN
E195-E2,ife_display,3456,1.62,21.73,24.58,167,1744,63.47,1,5.73,0.0,0.2895,0,20,PLAN
B737-800,ife_display,11790,1.84,19.71,41.83,166,2681,21.45,1,0.44,0.89,0.437,1,40,PLAN
B737-800,ife_display,22266,4.37,22.75,26.24,113,2066,51.03,5,4.78,0.64,0.3697,1,20,SOON
A321,lavatory_sensor,25717,3.8,16.91,40.83,161,2501,48.46,2,2.49,1.55,0.4717,0,26,PLAN
A320neo,seat_power_unit,14436,5.06,25.81,21.3,102,457,66.05,2,5.31,1.24,0.0121,0,36,OK
A320neo,ife_display,25607,2.34,20.73,36.97,162,1258,31.46,0,2.94,0.0,0.1002,1,34,OK
E195-E2,cabin_light_driver,26473,4.8,24.51,50.05,169,3335,33.42,1,3.13,1.37,0.4819,0,25,PLAN
A321,ife_display,15420,4.05,26.55,44.02,197,2562,22.9,3,4.53,3.58,0.4582,1,7,SOON
A320neo,galley_chiller,7679,1.8,24.31,24.43,203,3460,37.8,2,6.31,0.38,0.9092,0,0,CRITICAL
A320neo,seat_power_unit,21389,1.48,26.2,17.12,73,3960,52.6,0,5.22,1.58,0.7873,1,7,SOON
B737-800,ife_display,3189,4.13,16.0,43.47,113,1496,15.64,1,5.59,1.64,0.123,0,44,OK
A320neo,lavatory_sensor,27988,1.63,21.03,55.39,149,1128,40.03,3,5.89,2.73,0.1126,0,33,PLAN
E195-E2,ife_display,13743,4.55,27.41,27.4,116,1311,58.99,2,6.79,2.43,0.1752,0,26,PLAN
B737-800,cabin_light_driver,24232,3.46,25.04,61.07,159,2371,46.15,4,3.72,2.82,0.3586,1,29,PLAN
B737-800,lavatory_sensor,23557,3.09,30.39,37.93,193,1079,49.35,3,5.55,3.16,0.1217,0,27,PLAN
A321,ife_display,16134,2.17,29.82,16.45,107,1636,20.89,1,7.98,1.51,0.1779,0,22,PLAN
B737-800,seat_power_unit,30202,5.43,24.2,20.83,199,760,46.2,0,0.0,0.26,0.029,0,55,OK
B737-800,ife_display,25256,4.22,21.99,46.47,197,1618,48.52,4,4.44,2.48,0.2378,0,16,PLAN
B737-800,seat_power_unit,27719,4.48,19.17,39.43,202,3889,45.05,2,2.44,1.13,0.7231,0,11,SOON
A320neo,lavatory_sensor,5448,4.44,21.1,54.3,80,1772,50.75,3,5.37,3.53,0.303,1,21,SOON
A321,seat_power_unit,16450,3.59,21.37,24.82,112,3126,42.44,2,6.89,2.1,0.543,1,6,SOON
A320neo,cabin_light_driver,29645,5.22,20.63,39.3,87,1798,39.79,1,4.72,0.7,0.1776,1,26,PLAN
A321,galley_chiller,25721,3.59,19.33,38.07,87,1810,29.28,0,3.41,2.47,0.3131,0,29,PLAN
A320neo,ife_display,15605,3.29,24.61,36.43,77,2720,65.54,4,6.38,1.5,0.665,1,1,CRITICAL
A320neo,seat_power_unit,4783,2.16,29.79,33.79,133,505,25.92,1,3.23,3.61,0.0107,0,45,OK
A320neo,galley_chiller,10758,2.2,26.73,34.01,82,1495,50.84,3,5.8,2.03,0.2596,1,27,PLAN
B737-800,cabin_light_driver,18938,4.29,21.71,39.92,112,623,80.64,0,4.31,2.63,0.0385,0,48,OK
A320neo,galley_chiller,20900,2.44,27.06,41.33,212,863,67.83,1,7.51,3.07,0.0776,0,23,PLAN
E195-E2,ife_display,28865,4.25,24.39,40.78,198,2927,57.17,1,4.56,1.42,0.695,0,10,SOON
B737-800,cabin_light_driver,5418,5.28,22.84,51.27,205,765,52.5,2,4.69,1.91,0.0441,1,42,OK
A320neo,lavatory_sensor,13978,2.92,22.59,24.79,75,880,45.7,3,8.51,0.0,0.0623,1,30,PLAN
B737-800,seat_power_unit,10472,1.35,22.2,18.07,165,2374,31.78,1,0.23,0.0,0.2797,0,40,OK
A320neo,galley_chiller,29874,3.97,25.6,49.19,161,1465,43.43,1,4.18,3.84,0.2437,0,28,PLAN
E195-E2,galley_chiller,7484,0.94,23.56,27.62,89,555,58.35,1,3.02,1.68,0.019,1,42,OK
A321,galley_chiller,9023,4.52,20.09,33.83,201,3926,55.01,1,3.92,0.55,0.9854,1,0,CRITICAL
B737-800,galley_chiller,11198,3.32,19.89,31.27,128,3789,62.2,3,6.54,0.0,0.9823,1,0,CRITICAL
A320neo,ife_display,5778,3.15,24.22,31.03,211,2408,69.95,3,6.62,1.87,0.5767,1,0,CRITICAL
A321,galley_chiller,20945,3.52,24.71,21.96,86,2180,45.15,3,4.51,0.98,0.5269,1,14,SOON
A321,galley_chiller,17598,3.28,21.75,31.74,164,3325,51.45,2,6.1,0.0,0.917,1,0,CRITICAL
E195-E2,ife_display,18525,2.39,18.47,45.14,88,3994,13.82,1,2.13,4.47,0.7761,0,12,SOON
B737-800,galley_chiller,28384,2.19,28.0,37.96,207,479,88.61,1,2.05,2.89,0.0186,0,40,OK
A321,galley_chiller,15013,2.81,27.15,43.55,158,454,40.55,0,3.93,4.47,0.0103,1,34,OK
A320neo,ife_display,11578,5.02,16.0,32.54,80,1394,59.73,2,3.91,1.19,0.1833,0,37,OK
A320neo,cabin_light_driver,13386,1.52,28.36,47.93,101,1290,40.54,1,6.43,2.74,0.1133,0,36,PLAN
A321,ife_display,25364,2.39,22.16,32.41,122,3678,40.12,0,7.03,1.2,0.808,1,0,CRITICAL
A321,ife_display,17701,1.78,23.76,14.81,71,2113,43.73,0,2.1,0.0,0.352,1,31,PLAN
A320neo,cabin_light_driver,7571,2.86,27.55,41.48,71,3334,25.59,3,1.59,2.83,0.4677,0,20,PLAN
B737-800,lavatory_sensor,22252,1.51,29.61,46.44,204,2755,5.0,0,0.74,3.06,0.356,1,34,OK
E195-E2,galley_chiller,23825,4.4,27.01,31.85,212,2982,68.87,1,2.85,1.92,0.9189,0,7,CRITICAL
A320neo,galley_chiller,9847,1.38,23.96,51.19,147,3924,57.82,2,5.27,2.5,0.9924,1,0,CRITICAL
B737-800,ife_display,18508,3.96,17.5,28.64,200,2433,31.51,3,4.38,1.04,0.4166,1,17,PLAN
A320neo,ife_display,18695,2.13,16.0,45.38,165,3196,56.13,0,0.93,0.58,0.7515,1,19,SOON
B737-800,seat_power_unit,7735,3.07,26.51,57.19,74,1146,62.83,2,7.52,3.03,0.1065,1,20,PLAN
A320neo,seat_power_unit,3057,1.82,28.37,38.4,173,1109,35.53,2,5.49,1.27,0.066,0,34,PLAN
B737-800,galley_chiller,23050,4.26,19.74,35.51,72,2425,55.41,3,8.62,1.79,0.6872,1,0,CRITICAL
B737-800,cabin_light_driver,20154,5.26,21.92,36.84,188,3702,66.12,3,1.61,1.51,0.686,0,13,SOON
B737-800,lavatory_sensor,22927,1.92,20.77,55.91,123,265,22.11,2,6.59,1.54,0.0042,0,31,PLAN
A320neo,cabin_light_driver,13441,5.28,20.66,42.43,90,2084,57.6,3,4.58,2.96,0.3002,1,29,PLAN
E195-E2,seat_power_unit,17335,2.4,27.3,61.59,107,877,54.56,5,5.24,4.61,0.0589,0,30,PLAN
A320neo,ife_display,30482,3.47,23.87,41.07,169,3633,81.85,2,4.34,1.51,0.9194,0,0,CRITICAL
A320neo,ife_display,9158,4.13,22.08,30.81,192,2153,58.03,2,3.04,0.49,0.4216,0,15,PLAN
B737-800,ife_display,21209,1.82,33.63,31.58,152,230,40.6,1,3.49,3.96,0.0027,1,44,OK
A321,ife_display,6530,2.95,17.26,38.68,93,67,42.69,1,5.45,0.73,0.0005,0,38,OK
B737-800,galley_chiller,4652,1.21,25.19,15.55,200,2644,84.42,0,0.27,1.4,0.8591,1,15,SOON
B737-800,seat_power_unit,29794,4.11,18.8,32.78,184,998,41.61,2,7.0,1.3,0.0528,1,25,PLAN
A320neo,cabin_light_driver,6460,2.82,22.37,33.02,129,226,58.55,0,3.91,0.12,0.0038,0,46,OK
E195-E2,cabin_light_driver,21293,5.0,23.59,40.64,150,675,43.71,1,3.55,2.74,0.0311,0,46,OK
A320neo,seat_power_unit,17300,2.16,26.38,59.36,209,683,67.46,4,7.08,3.62,0.0363,0,25,PLAN
A321,ife_display,25620,5.15,21.96,38.6,124,1455,68.35,3,5.5,0.61,0.2123,1,20,PLAN
A320neo,ife_display,18214,1.55,21.53,16.85,73,2960,47.59,5,5.09,1.77,0.6681,0,2,CRITICAL
E195-E2,lavatory_sensor,22454,3.69,21.88,27.95,91,3527,40.68,3,3.46,0.0,0.6718,0,10,SOON
A320neo,cabin_light_driver,28014,2.32,18.68,40.89,157,2210,40.25,1,6.45,0.85,0.2586,0,19,PLAN
A320neo,ife_display,26191,1.74,25.53,39.02,214,3887,16.91,2,1.64,2.03,0.7502,0,8,SOON
A321,lavatory_sensor,23156,1.33,24.13,55.87,177,3256,49.81,1,3.4,2.93,0.7177,0,9,SOON
E195-E2,cabin_light_driver,7382,3.92,24.74,48.56,159,726,49.45,2,1.76,1.7,0.038,0,50,OK
E195-E2,cabin_light_driver,7577,1.97,22.72,48.23,116,3031,33.31,0,4.08,0.09,0.396,1,23,PLAN
B737-800,galley_chiller,16813,3.53,22.23,35.61,133,993,14.97,1,4.18,1.27,0.0505,0,45,OK
E195-E2,cabin_light_driver,21379,5.41,27.7,50.09,75,3951,51.71,1,1.5,2.64,0.7246,1,14,SOON
E195-E2,ife_display,21612,2.35,27.09,28.14,123,3481,53.99,0,1.64,1.56,0.8392,1,7,SOON
A321,seat_power_unit,24984,1.06,28.66,48.65,160,319,55.1,1,3.83,3.11,0.0054,1,44,OK
A320neo,lavatory_sensor,5715,1.56,24.49,34.89,201,757,30.18,2,4.81,0.4,0.0382,0,31,OK
B737-800,cabin_light_driver,7691,1.45,28.41,22.07,203,1843,55.14,1,0.26,1.73,0.2424,1,41,OK
B737-800,galley_chiller,7028,3.03,21.34,44.53,189,3054,44.79,5,5.28,1.27,0.8526,1,0,CRITICAL
A321,ife_display,18057,4.33,22.2,53.37,73,2291,63.56,1,4.04,1.67,0.5233,0,22,PLAN
A320neo,galley_chiller,20678,2.26,27.78,33.53,187,405,30.45,2,7.08,3.37,0.0063,1,25,PLAN
B737-800,seat_power_unit,6058,1.57,26.37,55.19,101,2599,68.7,1,5.26,2.53,0.5332,1,19,SOON
A320neo,cabin_light_driver,27297,3.85,21.84,19.78,159,2679,75.18,5,5.13,0.0,0.4614,1,13,SOON
E195-E2,seat_power_unit,11357,2.29,18.81,24.84,207,3816,50.09,3,6.65,0.49,0.7193,1,3,CRITICAL
A320neo,ife_display,21423,3.55,22.18,36.39,198,1133,55.27,3,4.28,0.0,0.1054,0,33,PLAN
A320neo,seat_power_unit,23995,5.2,20.26,33.92,166,214,62.11,0,0.0,0.12,0.0019,0,57,OK
B737-800,lavatory_sensor,3820,2.24,29.9,30.66,113,3088,29.54,2,6.89,3.06,0.5914,1,8,SOON
A320neo,cabin_light_driver,27187,3.26,26.04,39.47,145,2898,39.25,0,4.02,2.18,0.426,1,12,SOON
A320neo,lavatory_sensor,30166,4.61,19.94,32.19,172,2158,51.32,5,6.29,0.3,0.3679,1,15,SOON
B737-800,lavatory_sensor,29833,4.08,18.82,34.05,144,2855,84.48,0,3.21,1.11,0.6933,1,9,SOON
E195-E2,cabin_light_driver,6734,4.36,19.89,41.06,128,782,26.47,2,4.84,1.85,0.0315,0,30,PLAN
A320neo,cabin_light_driver,13872,4.45,20.76,30.66,128,567,77.48,2,4.31,1.44,0.0297,0,39,OK
A320neo,cabin_light_driver,9358,3.38,22.33,36.83,156,1685,44.52,2,3.78,1.92,0.175,1,38,PLAN
B737-800,galley_chiller,15512,3.37,27.46,30.9,75,3672,47.38,3,4.27,3.3,0.9775,1,0,CRITICAL
E195-E2,ife_display,30294,4.21,19.13,24.74,214,2137,69.92,3,4.99,0.61,0.4563,1,12,SOON
A321,cabin_light_driver,24320,4.11,32.16,46.4,84,2642,84.39,1,2.16,3.73,0.5779,0,15,PLAN
A320neo,galley_chiller,24543,3.98,19.23,56.79,212,4083,55.61,1,2.29,2.39,0.9957,1,0,CRITICAL
A320neo,lavatory_sensor,14698,2.66,17.36,49.71,75,1282,68.97,4,5.89,1.04,0.178,1,29,PLAN
A320neo,seat_power_unit,29211,4.71,29.75,41.65,144,2000,31.43,3,6.61,4.53,0.25,1,24,PLAN
A320neo,cabin_light_driver,28745,1.99,28.29,30.94,130,2830,38.47,1,2.32,3.75,0.4374,1,23,PLAN
B737-800,lavatory_sensor,25546,1.62,22.27,34.84,153,671,23.66,1,2.63,1.18,0.0276,0,45,OK
A320neo,lavatory_sensor,25768,2.49,24.53,49.63,132,1684,38.72,3,1.8,3.42,0.2394,0,33,PLAN
A321,cabin_light_driver,21178,2.07,24.63,12.9,200,2303,58.17,2,1.93,0.94,0.3349,0,30,PLAN
B737-800,galley_chiller,5488,3.95,23.55,34.0,72,1287,51.82,3,3.15,1.41,0.17,0,33,OK
B737-800,ife_display,10824,1.96,17.81,46.08,212,949,79.09,1,5.5,2.41,0.0973,0,30,PLAN
A320neo,cabin_light_driver,24479,3.92,16.0,25.48,169,1828,84.98,3,1.72,1.42,0.2837,1,32,PLAN
B737-800,seat_power_unit,12018,3.26,19.62,42.66,182,3613,45.54,5,6.78,0.45,0.6533,1,0,CRITICAL
B737-800,cabin_light_driver,7661,1.6,30.26,42.15,90,1740,35.77,0,2.72,4.22,0.1967,0,49,OK
B737-800,galley_chiller,29513,2.09,30.42,22.0,79,3429,68.88,1,5.44,3.21,0.9835,1,0,CRITICAL
A320neo,ife_display,16571,3.3,21.95,38.96,127,2793,70.76,1,5.85,0.17,0.6818,1,5,CRITICAL
A320neo,ife_display,27069,4.27,19.17,31.21,116,579,55.94,0,3.15,2.67,0.0248,0,41,OK
E195-E2,lavatory_sensor,10813,2.73,24.11,42.58,183,3752,60.7,2,6.34,2.73,0.835,1,0,CRITICAL
A321,cabin_light_driver,12937,1.97,24.76,45.37,200,2437,57.88,2,7.09,3.16,0.3937,0,21,SOON
A320neo,galley_chiller,12480,2.26,25.4,42.39,131,2358,30.2,1,6.77,2.58,0.5597,1,5,CRITICAL
A321,seat_power_unit,13326,1.34,16.0,38.8,181,2873,26.07,4,4.19,0.6,0.3801,0,11,SOON
B737-800,ife_display,15139,1.02,35.0,41.18,78,228,47.08,1,0.21,4.54,0.003,0,54,OK
E195-E2,lavatory_sensor,11194,5.38,27.53,25.06,177,1076,44.38,4,5.18,1.76,0.1045,0,40,PLAN
A320neo,lavatory_sensor,25760,1.34,22.21,37.66,84,3270,52.98,6,6.82,2.0,0.6998,0,0,CRITICAL
E195-E2,lavatory_sensor,11996,1.47,20.13,29.24,166,2590,45.64,0,0.0,1.3,0.4815,0,22,PLAN
A320neo,galley_chiller,15250,4.91,26.95,49.35,125,1633,17.34,1,4.46,4.79,0.2347,1,25,PLAN
B737-800,cabin_light_driver,27070,3.95,24.98,45.52,130,1929,9.98,1,0.0,1.98,0.1362,1,39,OK
B737-800,seat_power_unit,15127,2.91,23.37,45.48,110,2563,61.27,5,8.73,1.57,0.4535,1,7,SOON
A320neo,seat_power_unit,3096,3.89,24.83,56.85,128,2007,36.07,2,5.16,2.97,0.2512,1,27,PLAN
