id,flight_number,aircraft_type,route,route_class,eta,gate,passenger_load,arrival_delay,gate_congestion,assistance_request,assistance_equipment_confirmed,assistance_localization_status,inventory_shortage_score,trolley_availability,service_profile,catering_complexity,turnaround_pressure,item_criticality,inventory_category,malfunction_count,malfunction_severity,component_type,aircraft_age_cycles,flight_duration_hr,cabin_temperature,humidity,cycles_since_install,wear_index,environmental_stress,weather_disturbance,refueling_required,cabin_report_notes,reported_components,regime,arrival_delay_regime,gate_congestion_regime,malfunction_count_regime,malfunction_severity_regime,inventory_shortage_regime,trolley_availability_regime,passenger_load_regime,assistance_readiness_regime,weather_regime
jatm-0012-composite-multi-risk,JATM-0012,A321,CGN -> PMI,medium_haul,17:17,D12,175,55,6.4,True,False,Pending gate coordination,9.22,0.36,high_turnover,7.45,9.75,8.03,beverage,3,8.24,cabin_light_driver,17138,1.78,22.21,32.95,3128,74.79,5.15,5.23,True,['Controlled synthetic composite multi risk evaluation case.'],"['cabin light driver', 'beverage']",composite_multi_risk,high,medium,medium,high,high,low,high,unconfirmed,high
jatm-0013-low-risk-routine,JATM-0013,E195-E2,VIE -> MUC,short_haul,18:24,A13,105,2,2.53,False,False,Pending gate coordination,1.9,0.96,high_turnover,1.64,2.03,3.94,wheelchair_kit,1,0.68,cabin_light_driver,6999,3.12,20.6,32.48,458,12.15,2.34,0.27,True,['Controlled synthetic low risk routine evaluation case.'],"['cabin light driver', 'wheelchair kit']",low_risk_routine,low,low,low,low,low,high,low,not_required,low
jatm-0014-maintenance-heavy,JATM-0014,A320neo,ZRH -> HAM,short_haul,19:31,B14,148,19,6.44,False,False,Pending gate coordination,3.98,0.65,business_priority,4.81,3.8,4.75,duty_free,4,9.03,ife_display,20732,1.8,26.36,71.08,3146,84.17,8.01,0.56,True,['Controlled synthetic maintenance heavy evaluation case.'],"['ife display', 'duty free']",maintenance_heavy,medium,medium,high,high,medium,medium,medium,not_required,low
jatm-0015-inventory-heavy,JATM-0015,E195-E2,DUB -> BER,short_haul,20:38,C15,161,14,5.77,False,False,Pending gate coordination,8.39,0.39,business_priority,6.31,6.1,8.71,meal,1,1.69,cabin_light_driver,17514,1.42,20.95,27.04,579,24.14,2.95,2.5,True,['Controlled synthetic inventory heavy evaluation case.'],"['cabin light driver', 'meal']",inventory_heavy,medium,medium,low,low,high,low,medium,not_required,medium
jatm-0016-congestion-delay-heavy,JATM-0016,A320neo,MAD -> FRA,medium_haul,21:45,D16,184,46,7.48,True,True,Pending gate coordination,3.88,0.65,high_turnover,4.64,7.46,2.87,meal,2,1.8,cabin_light_driver,16981,2.1,26.42,41.13,1976,31.06,4.46,2.58,True,['Controlled synthetic congestion delay heavy evaluation case.'],"['cabin light driver', 'meal']",congestion_delay_heavy,high,high,medium,low,medium,medium,high,confirmed,medium
jatm-0017-assistance-readiness,JATM-0017,B737-800,MUC -> LHR,medium_haul,14:52,A17,144,16,5.99,True,False,Pending gate coordination,3.22,0.81,late_rotation,3.8,4.88,4.81,wheelchair_kit,0,1.85,ife_display,15630,1.29,22.82,49.41,1245,50.03,3.71,3.0,True,['Controlled synthetic assistance readiness evaluation case.'],"['ife display', 'wheelchair kit']",assistance_readiness,medium,medium,low,low,low,high,medium,unconfirmed,medium
jatm-0018-composite-multi-risk,JATM-0018,A320neo,OSL -> BER,long_haul,15:59,B18,205,39,7.08,True,True,Pending gate coordination,7.75,0.34,high_turnover,7.6,8.58,9.44,mixed_service,3,5.65,seat_power_unit,21557,1.28,23.92,36.67,2685,62.45,5.85,4.97,True,['Controlled synthetic composite multi risk evaluation case.'],"['seat power unit', 'mixed service']",composite_multi_risk,high,high,medium,medium,high,low,high,confirmed,medium
jatm-0019-low-risk-routine,JATM-0019,A321,AMS -> VIE,medium_haul,16:06,C19,92,3,1.08,False,False,Pending gate coordination,1.31,0.94,business_priority,2.14,3.52,1.59,beverage,0,0.62,ife_display,20063,1.77,20.54,27.31,1160,9.37,1.56,0.55,True,['Controlled synthetic low risk routine evaluation case.'],"['ife display', 'beverage']",low_risk_routine,low,low,low,low,low,high,low,not_required,low
jatm-0020-maintenance-heavy,JATM-0020,A321,CPH -> MUC,long_haul,17:13,D20,153,12,4.67,True,True,Pending gate coordination,3.23,0.66,high_turnover,4.2,2.39,2.66,wheelchair_kit,4,9.52,ife_display,18839,2.34,27.18,53.12,3380,78.48,6.46,1.25,True,['Controlled synthetic maintenance heavy evaluation case.'],"['ife display', 'wheelchair kit']",maintenance_heavy,medium,medium,high,high,low,medium,medium,confirmed,low
jatm-0021-inventory-heavy,JATM-0021,A321,FRA -> BCN,short_haul,18:20,A21,186,21,4.96,False,False,Pending gate coordination,9.52,0.38,late_rotation,7.51,7.77,8.2,beverage,1,1.04,ife_display,16211,1.04,24.57,39.65,1831,38.97,3.52,2.21,True,['Controlled synthetic inventory heavy evaluation case.'],"['ife display', 'beverage']",inventory_heavy,medium,medium,low,low,high,low,high,not_required,medium
jatm-0022-congestion-delay-heavy,JATM-0022,A321,CGN -> PMI,short_haul,19:27,B22,170,33,7.97,False,False,Pending gate coordination,4.23,0.64,business_priority,2.06,6.51,5.06,meal,0,3.45,seat_power_unit,14667,3.1,20.63,22.14,2086,58.05,3.96,4.67,True,['Controlled synthetic congestion delay heavy evaluation case.'],"['seat power unit', 'meal']",congestion_delay_heavy,high,high,low,low,medium,medium,medium,not_required,medium
jatm-0023-assistance-readiness,JATM-0023,E195-E2,VIE -> MUC,short_haul,20:34,C01,130,0,5.19,True,True,Pending gate coordination,2.0,0.71,high_turnover,2.62,4.27,3.03,wheelchair_kit,0,1.27,ife_display,16076,2.14,20.61,40.29,1867,57.07,3.82,1.75,True,['Controlled synthetic assistance readiness evaluation case.'],"['ife display', 'wheelchair kit']",assistance_readiness,low,medium,low,low,low,medium,medium,confirmed,low
jatm-0024-composite-multi-risk,JATM-0024,A321,ZRH -> HAM,medium_haul,21:41,D02,211,25,9.13,True,True,Pending gate coordination,7.9,0.2,late_rotation,8.93,9.01,6.78,mixed_service,5,7.72,lavatory_sensor,11532,2.55,25.4,31.53,2775,89.59,8.71,1.55,True,['Controlled synthetic composite multi risk evaluation case.'],"['lavatory sensor', 'mixed service']",composite_multi_risk,high,high,high,high,high,low,high,confirmed,low
jatm-0025-low-risk-routine,JATM-0025,A321,DUB -> BER,short_haul,14:48,A03,92,0,3.29,False,False,Pending gate coordination,1.26,0.97,business_priority,2.47,2.3,3.27,wheelchair_kit,1,0.18,galley_chiller,13678,0.92,23.82,25.25,292,26.97,2.74,0.6,True,['Controlled synthetic low risk routine evaluation case.'],"['galley chiller', 'wheelchair kit']",low_risk_routine,low,low,low,low,low,high,low,not_required,low
jatm-0026-maintenance-heavy,JATM-0026,A321,MAD -> FRA,short_haul,15:55,B04,93,8,4.35,False,False,Pending gate coordination,3.5,0.82,late_rotation,3.82,3.68,4.7,beverage,5,8.73,galley_chiller,19007,2.21,26.41,51.62,3083,83.55,6.03,1.56,True,['Controlled synthetic maintenance heavy evaluation case.'],"['galley chiller', 'beverage']",maintenance_heavy,medium,medium,high,high,medium,high,low,not_required,low
jatm-0027-inventory-heavy,JATM-0027,A321,MUC -> LHR,medium_haul,16:02,C05,203,17,5.81,False,False,Pending gate coordination,8.33,0.43,high_turnover,7.09,6.18,6.4,mixed_service,1,0.6,seat_power_unit,11844,2.93,24.25,49.96,1842,48.64,2.13,1.2,True,['Controlled synthetic inventory heavy evaluation case.'],"['seat power unit', 'mixed service']",inventory_heavy,medium,medium,low,low,high,low,high,not_required,low
jatm-0028-congestion-delay-heavy,JATM-0028,A320neo,OSL -> BER,long_haul,17:09,D06,168,39,7.45,False,False,Pending gate coordination,6.16,0.49,business_priority,3.37,8.65,5.1,wheelchair_kit,2,3.03,ife_display,10040,1.58,22.41,38.96,983,35.01,1.97,2.82,True,['Controlled synthetic congestion delay heavy evaluation case.'],"['ife display', 'wheelchair kit']",congestion_delay_heavy,high,high,medium,low,medium,medium,medium,not_required,medium
jatm-0029-assistance-readiness,JATM-0029,A320neo,AMS -> VIE,short_haul,18:16,A07,176,12,5.25,True,False,Pending gate coordination,1.9,0.94,business_priority,2.34,2.33,4.54,wheelchair_kit,0,1.06,lavatory_sensor,19749,1.3,25.5,45.39,346,57.61,2.54,0.23,True,['Controlled synthetic assistance readiness evaluation case.'],"['lavatory sensor', 'wheelchair kit']",assistance_readiness,medium,medium,low,low,low,high,high,unconfirmed,low
jatm-0030-composite-multi-risk,JATM-0030,A321,CPH -> MUC,long_haul,19:23,B08,201,23,7.05,True,True,Pending gate coordination,7.39,0.25,late_rotation,8.7,7.64,6.01,beverage,2,8.48,cabin_light_driver,20631,1.61,25.45,39.11,2259,64.1,5.61,7.23,True,['Controlled synthetic composite multi risk evaluation case.'],"['cabin light driver', 'beverage']",composite_multi_risk,medium,high,medium,high,high,low,high,confirmed,high
jatm-0031-low-risk-routine,JATM-0031,E195-E2,FRA -> BCN,short_haul,20:30,C09,99,4,1.36,False,False,Pending gate coordination,1.4,0.8,high_turnover,3.39,3.52,2.89,mixed_service,1,0.47,cabin_light_driver,17067,2.67,25.46,40.68,276,10.66,0.93,0.32,True,['Controlled synthetic low risk routine evaluation case.'],"['cabin light driver', 'mixed service']",low_risk_routine,low,low,low,low,low,high,low,not_required,low
jatm-0032-maintenance-heavy,JATM-0032,A320neo,CGN -> PMI,medium_haul,21:37,D10,168,17,5.32,False,False,Pending gate coordination,1.3,0.65,late_rotation,5.57,4.31,3.82,wheelchair_kit,7,7.26,galley_chiller,12241,2.41,31.27,40.94,2561,68.69,5.71,3.01,False,['Controlled synthetic maintenance heavy evaluation case.'],"['galley chiller', 'wheelchair kit']",maintenance_heavy,medium,medium,high,high,low,medium,medium,not_required,medium
jatm-0033-inventory-heavy,JATM-0033,A320neo,VIE -> MUC,medium_haul,14:44,A11,185,22,6.32,False,False,Pending gate coordination,7.01,0.19,business_priority,9.16,5.24,9.27,beverage,2,2.1,seat_power_unit,19692,3.01,20.82,44.73,1108,50.97,4.51,1.57,True,['Controlled synthetic inventory heavy evaluation case.'],"['seat power unit', 'beverage']",inventory_heavy,medium,medium,medium,low,high,low,high,not_required,low
jatm-0034-congestion-delay-heavy,JATM-0034,E195-E2,ZRH -> HAM,medium_haul,15:51,B12,157,58,9.2,False,False,Pending gate coordination,3.81,0.67,late_rotation,2.01,8.59,2.64,wheelchair_kit,0,2.95,ife_display,10253,2.4,20.56,49.61,2082,49.8,2.36,7.89,True,['Controlled synthetic congestion delay heavy evaluation case.'],"['ife display', 'wheelchair kit']",congestion_delay_heavy,high,high,low,low,medium,medium,medium,not_required,high
jatm-0035-assistance-readiness,JATM-0035,A321,DUB -> BER,long_haul,16:58,C13,123,11,2.53,True,False,Pending gate coordination,0.87,0.87,business_priority,3.65,5.39,4.86,wheelchair_kit,1,1.32,seat_power_unit,9269,3.06,20.95,35.1,601,46.38,1.46,2.49,True,['Controlled synthetic assistance readiness evaluation case.'],"['seat power unit', 'wheelchair kit']",assistance_readiness,medium,low,low,low,low,high,low,unconfirmed,medium
jatm-0036-composite-multi-risk,JATM-0036,B737-800,MAD -> FRA,long_haul,17:05,D14,212,43,7.13,True,False,Pending gate coordination,8.84,0.56,business_priority,9.24,6.84,6.26,meal,6,9.17,cabin_light_driver,12233,2.8,22.81,29.38,3952,58.3,5.48,2.29,True,['Controlled synthetic composite multi risk evaluation case.'],"['cabin light driver', 'meal']",composite_multi_risk,high,high,high,high,high,medium,high,unconfirmed,medium
jatm-0037-low-risk-routine,JATM-0037,B737-800,MUC -> LHR,short_haul,18:12,A15,99,6,1.97,False,False,Pending gate coordination,1.49,0.97,high_turnover,3.22,2.04,3.64,duty_free,0,2.12,seat_power_unit,9566,0.92,22.2,31.75,439,31.52,2.12,0.79,True,['Controlled synthetic low risk routine evaluation case.'],"['seat power unit', 'duty free']",low_risk_routine,low,low,low,low,low,high,low,not_required,low
jatm-0038-maintenance-heavy,JATM-0038,A320neo,OSL -> BER,short_haul,19:19,B16,172,12,6.1,False,False,Pending gate coordination,3.21,0.64,high_turnover,4.04,3.83,5.23,meal,6,9.79,galley_chiller,14303,2.03,32.76,43.93,3250,76.53,8.08,1.1,True,['Controlled synthetic maintenance heavy evaluation case.'],"['galley chiller', 'meal']",maintenance_heavy,medium,medium,high,high,low,medium,medium,not_required,low
jatm-0039-inventory-heavy,JATM-0039,B737-800,AMS -> VIE,medium_haul,20:26,C17,189,11,4.68,False,False,Pending gate coordination,9.54,0.39,business_priority,9.56,8.41,7.63,mixed_service,2,2.5,lavatory_sensor,16161,2.72,22.77,27.06,1383,48.66,1.67,0.7,True,['Controlled synthetic inventory heavy evaluation case.'],"['lavatory sensor', 'mixed service']",inventory_heavy,medium,medium,medium,low,high,low,high,not_required,low
jatm-0040-congestion-delay-heavy,JATM-0040,A320neo,CPH -> MUC,medium_haul,21:33,D18,179,40,9.78,False,False,Pending gate coordination,3.07,0.59,business_priority,2.69,8.15,3.4,wheelchair_kit,1,1.54,galley_chiller,6070,1.07,22.67,32.63,1597,45.9,2.93,6.19,True,['Controlled synthetic congestion delay heavy evaluation case.'],"['galley chiller', 'wheelchair kit']",congestion_delay_heavy,high,high,low,low,low,medium,high,not_required,high
jatm-0041-assistance-readiness,JATM-0041,B737-800,FRA -> BCN,short_haul,14:40,A19,178,7,4.27,True,False,Pending gate coordination,1.02,0.8,standard,5.17,4.63,5.7,wheelchair_kit,1,0.62,lavatory_sensor,21402,2.72,24.2,22.93,1511,52.58,2.01,1.82,True,['Controlled synthetic assistance readiness evaluation case.'],"['lavatory sensor', 'wheelchair kit']",assistance_readiness,low,medium,low,low,low,high,high,unconfirmed,low
jatm-0042-composite-multi-risk,JATM-0042,E195-E2,CGN -> PMI,short_haul,15:47,B20,166,34,8.86,True,True,Pending gate coordination,5.99,0.26,high_turnover,7.32,7.61,8.18,wheelchair_kit,4,7.12,ife_display,9662,2.52,25.85,25.43,2329,82.41,4.92,6.58,True,['Controlled synthetic composite multi risk evaluation case.'],"['ife display', 'wheelchair kit']",composite_multi_risk,high,high,high,high,medium,low,medium,confirmed,high
jatm-0043-low-risk-routine,JATM-0043,B737-800,VIE -> MUC,long_haul,16:54,C21,121,3,2.75,False,False,Pending gate coordination,2.78,0.8,high_turnover,1.85,1.95,3.29,mixed_service,1,2.0,galley_chiller,15660,2.95,23.24,39.49,523,34.38,2.51,0.97,True,['Controlled synthetic low risk routine evaluation case.'],"['galley chiller', 'mixed service']",low_risk_routine,low,low,low,low,low,high,low,not_required,low
jatm-0044-maintenance-heavy,JATM-0044,E195-E2,ZRH -> HAM,medium_haul,17:01,D22,88,7,6.0,False,False,Pending gate coordination,2.49,0.59,late_rotation,4.42,5.16,2.02,meal,7,8.13,seat_power_unit,21606,1.92,28.62,64.15,3181,79.06,9.23,2.88,True,['Controlled synthetic maintenance heavy evaluation case.'],"['seat power unit', 'meal']",maintenance_heavy,low,medium,high,high,low,medium,low,not_required,medium
jatm-0045-inventory-heavy,JATM-0045,B737-800,DUB -> BER,short_haul,18:08,A01,205,8,6.58,True,False,Pending gate coordination,6.94,0.4,late_rotation,7.41,8.67,8.37,meal,0,2.23,galley_chiller,19588,2.85,24.96,42.4,1520,22.71,2.04,1.32,True,['Controlled synthetic inventory heavy evaluation case.'],"['galley chiller', 'meal']",inventory_heavy,medium,medium,low,low,high,low,high,unconfirmed,low
jatm-0046-congestion-delay-heavy,JATM-0046,B737-800,MAD -> FRA,medium_haul,19:15,B02,146,51,9.52,False,False,Pending gate coordination,3.4,0.5,business_priority,4.75,9.53,3.23,duty_free,2,3.2,lavatory_sensor,17118,2.55,21.22,26.34,2250,59.25,2.84,7.78,True,['Controlled synthetic congestion delay heavy evaluation case.'],"['lavatory sensor', 'duty free']",congestion_delay_heavy,high,high,medium,low,low,medium,medium,not_required,high
jatm-0047-assistance-readiness,JATM-0047,E195-E2,MUC -> LHR,short_haul,20:22,C03,121,7,3.12,True,True,Pending gate coordination,3.17,0.95,business_priority,4.14,4.47,3.47,wheelchair_kit,0,1.47,lavatory_sensor,6139,1.23,21.12,23.01,1463,37.02,4.66,0.93,True,['Controlled synthetic assistance readiness evaluation case.'],"['lavatory sensor', 'wheelchair kit']",assistance_readiness,low,low,low,low,low,high,low,confirmed,low
jatm-0048-composite-multi-risk,JATM-0048,A321,OSL -> BER,medium_haul,21:29,D04,194,27,6.07,False,False,Pending gate coordination,6.28,0.54,high_turnover,8.45,7.34,7.26,beverage,2,8.33,lavatory_sensor,9871,2.01,24.95,29.36,2570,62.14,6.8,3.23,True,['Controlled synthetic composite multi risk evaluation case.'],"['lavatory sensor', 'beverage']",composite_multi_risk,high,medium,medium,high,medium,medium,high,not_required,medium
jatm-0049-low-risk-routine,JATM-0049,E195-E2,AMS -> VIE,medium_haul,14:36,A05,121,2,2.71,False,False,Pending gate coordination,1.55,0.9,late_rotation,1.52,2.66,1.87,duty_free,1,1.92,galley_chiller,21468,2.02,21.12,30.45,169,32.88,1.36,0.58,True,['Controlled synthetic low risk routine evaluation case.'],"['galley chiller', 'duty free']",low_risk_routine,low,low,low,low,low,high,low,not_required,low
jatm-0050-maintenance-heavy,JATM-0050,E195-E2,CPH -> MUC,short_haul,15:43,B06,157,9,7.11,True,True,Pending gate coordination,2.27,0.67,business_priority,4.05,2.59,5.04,mixed_service,7,7.98,galley_chiller,17090,2.8,29.26,71.59,2648,85.96,7.12,1.99,True,['Controlled synthetic maintenance heavy evaluation case.'],"['galley chiller', 'mixed service']",maintenance_heavy,medium,high,high,high,low,medium,medium,confirmed,low
jatm-0051-inventory-heavy,JATM-0051,A320neo,FRA -> BCN,medium_haul,16:50,C07,193,13,4.18,False,False,Pending gate coordination,9.31,0.31,business_priority,6.47,8.38,6.93,meal,0,2.69,cabin_light_driver,9491,1.35,21.61,47.99,1232,37.89,3.76,2.17,True,['Controlled synthetic inventory heavy evaluation case.'],"['cabin light driver', 'meal']",inventory_heavy,medium,medium,low,low,high,low,high,not_required,medium
jatm-0052-congestion-delay-heavy,JATM-0052,B737-800,CGN -> PMI,short_haul,17:57,D08,154,49,9.63,False,False,Pending gate coordination,3.61,0.7,late_rotation,5.09,8.83,4.24,wheelchair_kit,2,1.23,cabin_light_driver,7363,2.56,25.38,28.67,956,56.5,2.57,3.52,False,['Controlled synthetic congestion delay heavy evaluation case.'],"['cabin light driver', 'wheelchair kit']",congestion_delay_heavy,high,high,medium,low,medium,medium,medium,not_required,medium
jatm-0053-assistance-readiness,JATM-0053,B737-800,VIE -> MUC,medium_haul,18:04,A09,158,1,2.9,True,True,Pending gate coordination,1.2,0.84,standard,3.73,2.14,4.18,wheelchair_kit,0,2.05,ife_display,18182,2.61,20.37,48.64,1861,53.58,2.78,0.42,True,['Controlled synthetic assistance readiness evaluation case.'],"['ife display', 'wheelchair kit']",assistance_readiness,low,low,low,low,low,high,medium,confirmed,low
jatm-0054-composite-multi-risk,JATM-0054,A321,ZRH -> HAM,medium_haul,19:11,B10,200,34,7.75,True,True,Pending gate coordination,8.31,0.41,business_priority,8.18,8.15,7.25,mixed_service,2,8.32,cabin_light_driver,11909,1.06,24.29,28.99,2940,92.0,6.4,5.29,True,['Controlled synthetic composite multi risk evaluation case.'],"['cabin light driver', 'mixed service']",composite_multi_risk,high,high,medium,high,high,low,high,confirmed,high
jatm-0055-low-risk-routine,JATM-0055,B737-800,DUB -> BER,short_haul,20:18,C11,123,5,1.15,False,False,Pending gate coordination,1.62,0.92,business_priority,1.31,2.9,3.16,wheelchair_kit,1,0.1,seat_power_unit,17676,0.89,23.31,29.53,232,9.54,2.36,0.93,True,['Controlled synthetic low risk routine evaluation case.'],"['seat power unit', 'wheelchair kit']",low_risk_routine,low,low,low,low,low,high,low,not_required,low
jatm-0056-maintenance-heavy,JATM-0056,A321,MAD -> FRA,medium_haul,21:25,D12,86,17,5.84,False,False,Pending gate coordination,4.51,0.86,standard,4.96,5.01,4.1,duty_free,6,7.48,ife_display,16644,2.32,28.18,55.98,3457,91.85,8.62,1.6,True,['Controlled synthetic maintenance heavy evaluation case.'],"['ife display', 'duty free']",maintenance_heavy,medium,medium,high,high,medium,high,low,not_required,low
jatm-0057-inventory-heavy,JATM-0057,A320neo,MUC -> LHR,short_haul,14:32,A13,151,20,5.33,False,False,Pending gate coordination,8.08,0.46,business_priority,7.61,6.53,8.19,beverage,2,1.39,seat_power_unit,18795,1.65,20.26,30.49,1785,20.19,2.44,2.15,True,['Controlled synthetic inventory heavy evaluation case.'],"['seat power unit', 'beverage']",inventory_heavy,medium,medium,medium,low,high,medium,medium,not_required,medium
jatm-0058-congestion-delay-heavy,JATM-0058,A320neo,OSL -> BER,short_haul,15:39,B14,205,53,7.71,True,False,Pending gate coordination,5.55,0.66,business_priority,2.87,8.62,4.35,beverage,2,2.34,seat_power_unit,11591,1.52,23.83,44.02,877,43.5,4.53,7.75,True,['Controlled synthetic congestion delay heavy evaluation case.'],"['seat power unit', 'beverage']",congestion_delay_heavy,high,high,medium,low,medium,medium,high,unconfirmed,high
jatm-0059-assistance-readiness,JATM-0059,A321,AMS -> VIE,medium_haul,16:46,C15,153,11,4.81,True,False,Pending gate coordination,2.84,0.85,standard,2.68,2.65,3.43,wheelchair_kit,1,1.23,ife_display,19605,1.32,20.13,42.56,1521,35.5,1.36,3.01,True,['Controlled synthetic assistance readiness evaluation case.'],"['ife display', 'wheelchair kit']",assistance_readiness,medium,medium,low,low,low,high,medium,unconfirmed,medium
jatm-0060-composite-multi-risk,JATM-0060,A321,CPH -> MUC,medium_haul,17:53,D16,180,32,9.18,False,False,Pending gate coordination,9.22,0.48,high_turnover,7.54,9.15,7.48,meal,5,9.59,ife_display,13010,1.91,24.15,25.23,1943,88.02,7.85,7.46,True,['Controlled synthetic composite multi risk evaluation case.'],"['ife display', 'meal']",composite_multi_risk,high,high,high,high,high,medium,high,not_required,high
jatm-0061-low-risk-routine,JATM-0061,B737-800,FRA -> BCN,short_haul,18:00,A17,115,0,1.58,False,False,Pending gate coordination,0.99,0.89,high_turnover,2.32,2.65,3.94,beverage,1,0.61,cabin_light_driver,15470,1.11,23.05,40.08,137,19.53,0.94,0.8,False,['Controlled synthetic low risk routine evaluation case.'],"['cabin light driver', 'beverage']",low_risk_routine,low,low,low,low,low,high,low,not_required,low
