scenario_id,flight_number,regime,readiness_score,criticality_score,alert_level,at_risk,assistance_request,assistance_equipment_confirmed,assistance_readiness_state,action_queue_size,p1_action_count,p2_action_count,top_action_category,maintenance_failure_probability,maintenance_urgency,maintenance_remaining_flights,inventory_shortage_risk,inventory_risk_level,bottleneck_dominant,bottleneck_confidence,expected_delay_risk_min,expected_benefit_min,proactive_vs_reactive_delta_min,bottleneck_prob_maintenance,bottleneck_prob_catering,bottleneck_prob_cleaning,bottleneck_prob_boarding,bottleneck_prob_refueling,action_count_maintenance,action_count_inventory_catering,action_count_assistance,action_count_gate_turnaround,action_count_occ_coordination,action_count_boarding,action_count_refueling,action_count_cleaning,action_count_operator_oversight
jatm-0014-maintenance-heavy,JATM-0014,maintenance_heavy,26.4,100.0,Critical,True,False,False,not_required,5,1,3,Maintenance,0.908,CRITICAL,0,0.379,LOW,Maintenance,1.0,20.5,7.7,8.9,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,0,0,0,1
jatm-0015-inventory-heavy,JATM-0015,inventory_heavy,57.8,63.3,Priority,True,False,False,not_required,4,1,2,Inventory/Catering,0.118,OK,50,0.86,HIGH,Catering,0.988,16.8,6.6,7.8,0.0,0.988,0.004,0.006,0.002,0,2,0,0,1,0,0,0,1
jatm-0016-congestion-delay-heavy,JATM-0016,congestion_delay_heavy,32.2,90.1,Critical,True,True,True,confirmed,6,2,2,Inventory/Catering,0.367,PLAN,34,0.778,HIGH,Boarding,0.899,19.4,6.8,8.0,0.0,0.009,0.084,0.899,0.008,0,1,0,3,1,0,0,0,1
jatm-0017-assistance-readiness,JATM-0017,assistance_readiness,58.7,58.0,Watch,True,True,False,unconfirmed,5,1,2,Assistance,0.292,OK,41,0.319,LOW,Boarding,0.82,14.1,6.1,7.3,0.0,0.022,0.078,0.82,0.08,0,0,1,2,1,0,0,0,1
jatm-0018-composite-multi-risk,JATM-0018,composite_multi_risk,31.2,91.9,Critical,True,True,True,confirmed,7,1,5,Inventory/Catering,0.705,SOON,8,0.88,HIGH,Catering,0.585,19.3,7.0,8.2,0.292,0.585,0.022,0.097,0.004,2,2,0,1,1,0,0,0,1
jatm-0019-low-risk-routine,JATM-0019,low_risk_routine,85.6,23.2,Routine,False,False,False,not_required,2,0,0,Cleaning,0.155,OK,49,0.17,LOW,Cleaning,0.43,8.3,3.3,4.5,0.0,0.033,0.43,0.16,0.376,0,0,0,0,0,0,0,1,1
jatm-0020-maintenance-heavy,JATM-0020,maintenance_heavy,30.4,96.8,Critical,True,True,True,confirmed,4,1,2,Maintenance,0.905,CRITICAL,0,0.411,LOW,Maintenance,1.0,20.2,7.7,8.9,1.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1
jatm-0021-inventory-heavy,JATM-0021,inventory_heavy,51.1,73.0,Priority,True,False,False,not_required,5,2,2,Inventory/Catering,0.35,OK,36,0.875,HIGH,Catering,0.996,19.0,7.3,8.5,0.0,0.996,0.002,0.001,0.0,0,2,0,1,1,0,0,0,1
jatm-0022-congestion-delay-heavy,JATM-0022,congestion_delay_heavy,50.4,66.7,Priority,True,False,False,not_required,5,0,3,Inventory/Catering,0.358,PLAN,29,0.684,ELEVATED,Refueling,0.562,15.2,5.5,6.7,0.003,0.03,0.096,0.308,0.562,0,1,0,1,1,0,1,0,1
jatm-0023-assistance-readiness,JATM-0023,assistance_readiness,71.6,46.4,Watch,False,True,True,confirmed,3,0,1,OCC coordination,0.322,OK,33,0.303,LOW,Boarding,0.905,13.9,5.5,6.7,0.0,0.007,0.042,0.905,0.045,0,0,0,1,1,0,0,0,1
jatm-0024-composite-multi-risk,JATM-0024,composite_multi_risk,10.3,100.0,Critical,True,True,True,confirmed,6,3,2,Maintenance,0.785,CRITICAL,0,0.88,HIGH,Maintenance,0.997,22.4,8.5,9.7,0.997,0.002,0.0,0.001,0.0,2,1,0,1,1,0,0,0,1
jatm-0025-low-risk-routine,JATM-0025,low_risk_routine,83.4,25.5,Routine,False,False,False,not_required,2,0,0,Refueling,0.127,OK,53,0.155,LOW,Refueling,0.473,8.2,3.3,4.5,0.001,0.015,0.19,0.321,0.473,0,0,0,0,0,0,1,0,1
jatm-0026-maintenance-heavy,JATM-0026,maintenance_heavy,33.0,93.3,Critical,True,False,False,not_required,4,1,2,Maintenance,0.904,CRITICAL,0,0.303,LOW,Maintenance,1.0,19.4,7.5,8.7,1.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1
jatm-0027-inventory-heavy,JATM-0027,inventory_heavy,55.2,68.4,Priority,True,False,False,not_required,5,1,3,Inventory/Catering,0.324,OK,40,0.853,HIGH,Catering,0.984,18.4,7.1,8.3,0.0,0.984,0.009,0.007,0.0,0,2,0,1,1,0,0,0,1
jatm-0028-congestion-delay-heavy,JATM-0028,congestion_delay_heavy,45.0,74.5,Priority,True,False,False,not_required,5,2,2,Inventory/Catering,0.294,OK,39,0.875,HIGH,Catering,0.691,17.2,6.2,7.4,0.003,0.691,0.141,0.152,0.013,0,2,0,1,1,0,0,0,1
jatm-0029-assistance-readiness,JATM-0029,assistance_readiness,61.9,53.6,Watch,True,True,False,unconfirmed,5,1,2,Assistance,0.157,OK,51,0.187,LOW,Boarding,0.928,13.1,5.8,7.0,0.0,0.004,0.064,0.928,0.003,0,0,1,2,1,0,0,0,1
jatm-0030-composite-multi-risk,JATM-0030,composite_multi_risk,29.8,98.2,Critical,True,True,True,confirmed,6,2,3,Inventory/Catering,0.665,SOON,9,0.88,HIGH,Maintenance,0.996,21.4,8.2,9.4,0.996,0.003,0.0,0.001,0.0,2,1,0,1,1,0,0,0,1
jatm-0031-low-risk-routine,JATM-0031,low_risk_routine,84.4,24.5,Routine,False,False,False,not_required,2,0,0,Cleaning,0.086,OK,57,0.228,LOW,Cleaning,0.469,8.5,3.3,4.5,0.002,0.033,0.469,0.262,0.234,0,0,0,0,0,0,0,1,1
jatm-0032-maintenance-heavy,JATM-0032,maintenance_heavy,28.1,98.9,Critical,True,False,False,not_required,5,1,3,Maintenance,0.871,CRITICAL,0,0.444,LOW,Maintenance,1.0,20.4,7.7,8.9,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,0,0,0,1
jatm-0033-inventory-heavy,JATM-0033,inventory_heavy,50.7,71.7,Priority,True,False,False,not_required,5,2,2,Inventory/Catering,0.282,OK,40,0.876,HIGH,Catering,0.921,18.0,6.8,8.0,0.0,0.921,0.036,0.042,0.002,0,2,0,1,1,0,0,0,1
jatm-0034-congestion-delay-heavy,JATM-0034,congestion_delay_heavy,29.1,93.6,Critical,True,False,False,not_required,5,2,1,Inventory/Catering,0.416,PLAN,26,0.75,HIGH,Refueling,0.896,20.3,6.8,8.0,0.0,0.002,0.031,0.071,0.896,0,1,0,1,1,0,1,0,1
jatm-0035-assistance-readiness,JATM-0035,assistance_readiness,67.7,45.1,Watch,True,True,False,unconfirmed,3,1,0,Assistance,0.14,OK,51,0.416,LOW,Boarding,0.6,11.3,5.3,6.5,0.001,0.005,0.245,0.6,0.149,0,0,1,1,0,0,0,0,1
jatm-0036-composite-multi-risk,JATM-0036,composite_multi_risk,5.0,100.0,Critical,True,True,False,unconfirmed,7,4,2,Maintenance,0.905,CRITICAL,0,0.874,HIGH,Maintenance,1.0,24.4,9.7,10.9,1.0,0.0,0.0,0.0,0.0,2,1,1,1,1,0,0,0,1
jatm-0037-low-risk-routine,JATM-0037,low_risk_routine,84.4,23.7,Routine,False,False,False,not_required,2,0,0,Refueling,0.123,OK,51,0.166,LOW,Refueling,0.405,8.0,3.1,4.3,0.011,0.027,0.349,0.208,0.405,0,0,0,0,0,0,1,0,1
jatm-0038-maintenance-heavy,JATM-0038,maintenance_heavy,28.1,99.6,Critical,True,False,False,not_required,5,1,3,Maintenance,0.937,CRITICAL,0,0.433,LOW,Maintenance,1.0,20.5,7.9,9.1,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,0,0,0,1
jatm-0039-inventory-heavy,JATM-0039,inventory_heavy,57.9,65.7,Priority,True,False,False,not_required,4,1,2,Inventory/Catering,0.305,OK,36,0.877,HIGH,Catering,0.998,18.1,7.2,8.4,0.0,0.998,0.001,0.001,0.0,0,2,0,0,1,0,0,0,1
jatm-0040-congestion-delay-heavy,JATM-0040,congestion_delay_heavy,48.1,68.6,Priority,True,False,False,not_required,5,1,2,Inventory/Catering,0.37,OK,36,0.786,HIGH,Refueling,0.462,15.4,5.5,6.7,0.0,0.005,0.099,0.434,0.462,0,1,0,1,1,0,1,0,1
jatm-0041-assistance-readiness,JATM-0041,assistance_readiness,63.3,53.3,Watch,True,True,False,unconfirmed,5,1,2,Assistance,0.259,OK,43,0.295,LOW,Boarding,0.857,13.5,6.1,7.3,0.0,0.002,0.121,0.857,0.021,0,0,1,2,1,0,0,0,1
jatm-0042-composite-multi-risk,JATM-0042,composite_multi_risk,7.4,100.0,Critical,True,True,True,confirmed,6,3,2,Maintenance,0.711,CRITICAL,5,0.875,HIGH,Maintenance,0.999,22.4,8.3,9.5,0.999,0.0,0.0,0.0,0.0,2,1,0,1,1,0,0,0,1
jatm-0043-low-risk-routine,JATM-0043,low_risk_routine,80.1,31.8,Routine,False,False,False,not_required,2,0,0,Cleaning,0.222,OK,45,0.289,LOW,Cleaning,0.533,10.2,4.1,5.3,0.006,0.229,0.533,0.169,0.063,0,0,0,0,0,0,0,1,1
jatm-0044-maintenance-heavy,JATM-0044,maintenance_heavy,28.1,100.0,Critical,True,False,False,not_required,6,1,4,Maintenance,0.887,CRITICAL,3,0.604,ELEVATED,Maintenance,1.0,20.7,8.1,9.3,1.0,0.0,0.0,0.0,0.0,2,1,0,1,1,0,0,0,1
jatm-0045-inventory-heavy,JATM-0045,inventory_heavy,51.1,69.3,Priority,True,True,False,unconfirmed,6,2,3,Inventory/Catering,0.375,OK,37,0.879,HIGH,Catering,0.684,15.9,7.3,8.5,0.0,0.684,0.021,0.294,0.001,0,2,1,1,1,0,0,0,1
jatm-0046-congestion-delay-heavy,JATM-0046,congestion_delay_heavy,26.5,98.0,Critical,True,False,False,not_required,5,2,1,Inventory/Catering,0.464,PLAN,24,0.867,HIGH,Refueling,0.926,21.0,7.4,8.6,0.012,0.001,0.017,0.045,0.926,0,1,0,1,1,0,1,0,1
jatm-0047-assistance-readiness,JATM-0047,assistance_readiness,76.0,38.3,Routine,False,True,True,confirmed,3,0,1,OCC coordination,0.165,OK,43,0.261,LOW,Boarding,0.783,12.0,4.6,5.8,0.0,0.063,0.103,0.783,0.051,0,0,0,1,1,0,0,0,1
jatm-0048-composite-multi-risk,JATM-0048,composite_multi_risk,14.8,100.0,Critical,True,False,False,not_required,6,3,2,Maintenance,0.665,CRITICAL,4,0.838,HIGH,Maintenance,0.998,21.5,8.1,9.3,0.998,0.002,0.0,0.0,0.0,2,1,0,1,1,0,0,0,1
jatm-0049-low-risk-routine,JATM-0049,low_risk_routine,82.1,28.3,Routine,False,False,False,not_required,2,0,0,Cleaning,0.16,OK,48,0.164,LOW,Cleaning,0.553,9.3,3.7,4.9,0.008,0.039,0.553,0.308,0.092,0,0,0,0,0,0,0,1,1
jatm-0050-maintenance-heavy,JATM-0050,maintenance_heavy,26.3,100.0,Critical,True,True,True,confirmed,5,2,2,Maintenance,0.907,CRITICAL,0,0.305,LOW,Maintenance,1.0,19.5,7.5,8.7,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,0,0,0,1
jatm-0051-inventory-heavy,JATM-0051,inventory_heavy,58.6,64.2,Priority,True,False,False,not_required,4,1,2,Inventory/Catering,0.235,OK,43,0.879,HIGH,Catering,0.999,17.8,7.0,8.2,0.0,0.999,0.001,0.0,0.0,0,2,0,0,1,0,0,0,1
jatm-0052-congestion-delay-heavy,JATM-0052,congestion_delay_heavy,41.3,78.0,Priority,True,False,False,not_required,5,0,3,Inventory/Catering,0.202,OK,46,0.728,ELEVATED,Boarding,0.85,17.7,6.0,7.2,0.0,0.006,0.141,0.85,0.002,0,1,0,2,1,0,0,0,1
jatm-0053-assistance-readiness,JATM-0053,assistance_readiness,76.7,39.5,Routine,False,True,True,confirmed,3,0,1,OCC coordination,0.399,OK,31,0.21,LOW,Boarding,0.751,12.8,5.0,6.2,0.0,0.007,0.229,0.751,0.012,0,0,0,1,1,0,0,0,1
jatm-0054-composite-multi-risk,JATM-0054,composite_multi_risk,8.6,100.0,Critical,True,True,True,confirmed,6,3,2,Maintenance,0.76,CRITICAL,4,0.876,HIGH,Maintenance,0.984,22.7,8.4,9.6,0.984,0.013,0.0,0.002,0.0,2,1,0,1,1,0,0,0,1
jatm-0055-low-risk-routine,JATM-0055,low_risk_routine,84.1,25.4,Routine,False,False,False,not_required,2,0,0,Cleaning,0.09,OK,57,0.164,LOW,Cleaning,0.541,8.9,3.4,4.6,0.0,0.034,0.541,0.189,0.235,0,0,0,0,0,0,0,1,1
jatm-0056-maintenance-heavy,JATM-0056,maintenance_heavy,28.2,98.4,Critical,True,False,False,not_required,5,1,3,Maintenance,0.905,CRITICAL,0,0.346,LOW,Maintenance,1.0,20.2,7.6,8.8,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,0,0,0,1
jatm-0057-inventory-heavy,JATM-0057,inventory_heavy,52.2,70.7,Priority,True,False,False,not_required,5,2,2,Inventory/Catering,0.294,OK,40,0.824,HIGH,Catering,0.985,18.2,7.0,8.2,0.0,0.985,0.005,0.008,0.003,0,2,0,1,1,0,0,0,1
jatm-0058-congestion-delay-heavy,JATM-0058,congestion_delay_heavy,38.4,77.5,Priority,True,True,False,unconfirmed,7,2,3,Inventory/Catering,0.25,OK,43,0.788,HIGH,Boarding,0.509,15.7,6.2,7.4,0.001,0.025,0.045,0.509,0.42,0,1,1,3,1,0,0,0,1
jatm-0059-assistance-readiness,JATM-0059,assistance_readiness,63.1,52.4,Watch,True,True,False,unconfirmed,4,1,1,Assistance,0.299,OK,40,0.231,LOW,Boarding,0.771,13.0,5.8,7.0,0.0,0.018,0.101,0.771,0.11,0,0,1,1,1,0,0,0,1
jatm-0060-composite-multi-risk,JATM-0060,composite_multi_risk,7.5,100.0,Critical,True,False,False,not_required,6,3,2,Maintenance,0.752,CRITICAL,9,0.877,HIGH,Maintenance,1.0,22.6,8.4,9.6,1.0,0.0,0.0,0.0,0.0,2,1,0,1,1,0,0,0,1
jatm-0061-low-risk-routine,JATM-0061,low_risk_routine,83.8,26.7,Routine,False,False,False,not_required,2,0,0,Cleaning,0.095,OK,57,0.177,LOW,Cleaning,0.605,9.2,3.7,4.9,0.002,0.02,0.605,0.37,0.003,0,0,0,0,0,0,0,1,1
jatm-0062-maintenance-heavy,JATM-0062,maintenance_heavy,12.6,100.0,Critical,True,True,False,unconfirmed,6,3,2,Maintenance,0.915,CRITICAL,0,0.246,LOW,Maintenance,1.0,20.3,8.3,9.5,1.0,0.0,0.0,0.0,0.0,2,0,1,1,1,0,0,0,1
jatm-0063-inventory-heavy,JATM-0063,inventory_heavy,60.8,61.7,Priority,True,False,False,not_required,4,1,2,Inventory/Catering,0.22,OK,45,0.858,HIGH,Catering,0.998,17.3,6.9,8.1,0.0,0.998,0.001,0.001,0.0,0,2,0,0,1,0,0,0,1
jatm-0064-congestion-delay-heavy,JATM-0064,congestion_delay_heavy,46.5,70.3,Priority,True,False,False,not_required,6,1,3,Inventory/Catering,0.269,OK,37,0.864,HIGH,Boarding,0.514,16.5,5.5,6.7,0.002,0.036,0.448,0.514,0.0,0,1,0,3,1,0,0,0,1
jatm-0065-assistance-readiness,JATM-0065,assistance_readiness,69.5,48.5,Watch,True,True,True,confirmed,3,0,1,OCC coordination,0.28,OK,38,0.324,LOW,Boarding,0.925,14.5,5.5,6.7,0.001,0.003,0.071,0.925,0.0,0,0,0,1,1,0,0,0,1
jatm-0066-composite-multi-risk,JATM-0066,composite_multi_risk,27.0,100.0,Critical,True,False,False,not_required,6,2,3,Inventory/Catering,0.62,SOON,10,0.878,HIGH,Maintenance,0.994,21.2,8.0,9.2,0.994,0.006,0.0,0.0,0.0,2,1,0,1,1,0,0,0,1
jatm-0067-low-risk-routine,JATM-0067,low_risk_routine,80.5,31.3,Routine,False,False,False,not_required,2,0,0,Cleaning,0.182,OK,45,0.194,LOW,Cleaning,0.617,10.2,4.0,5.2,0.004,0.072,0.617,0.307,0.001,0,0,0,0,0,0,0,1,1
jatm-0068-maintenance-heavy,JATM-0068,maintenance_heavy,31.7,94.1,Critical,True,False,False,not_required,5,1,3,Maintenance,0.899,CRITICAL,0,0.246,LOW,Maintenance,1.0,19.0,7.3,8.5,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,0,0,0,1
jatm-0069-inventory-heavy,JATM-0069,inventory_heavy,61.2,61.5,Priority,True,False,False,not_required,4,1,2,Inventory/Catering,0.226,OK,44,0.88,HIGH,Catering,0.998,17.3,6.9,8.1,0.0,0.998,0.001,0.0,0.0,0,2,0,0,1,0,0,0,1
jatm-0070-congestion-delay-heavy,JATM-0070,congestion_delay_heavy,57.8,57.2,Watch,True,False,False,not_required,5,1,2,Inventory/Catering,0.208,OK,43,0.8,HIGH,Boarding,0.463,13.5,5.0,6.2,0.0,0.008,0.099,0.463,0.429,0,1,0,2,1,0,0,0,1
jatm-0071-assistance-readiness,JATM-0071,assistance_readiness,69.4,43.0,Watch,True,True,False,unconfirmed,4,1,1,Assistance,0.139,OK,51,0.274,LOW,Boarding,0.661,10.7,5.1,6.3,0.001,0.026,0.066,0.661,0.247,0,0,1,1,1,0,0,0,1
jatm-0072-composite-multi-risk,JATM-0072,composite_multi_risk,24.4,100.0,Critical,True,True,True,confirmed,7,3,3,Maintenance,0.694,CRITICAL,6,0.872,HIGH,Catering,0.702,18.9,7.3,8.5,0.266,0.702,0.001,0.024,0.007,2,2,0,1,1,0,0,0,1
jatm-0073-low-risk-routine,JATM-0073,low_risk_routine,82.3,27.8,Routine,False,False,False,not_required,2,0,0,Cleaning,0.087,OK,56,0.199,LOW,Cleaning,0.576,9.2,3.6,4.8,0.0,0.077,0.576,0.233,0.113,0,0,0,0,0,0,0,1,1
jatm-0074-maintenance-heavy,JATM-0074,maintenance_heavy,21.0,100.0,Critical,True,False,False,not_required,5,2,2,Maintenance,0.843,CRITICAL,2,0.296,LOW,Maintenance,1.0,20.1,7.3,8.5,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,0,0,0,1
jatm-0075-inventory-heavy,JATM-0075,inventory_heavy,47.9,78.6,Priority,True,False,False,not_required,5,1,3,Inventory/Catering,0.545,PLAN,21,0.877,HIGH,Catering,0.996,20.3,7.8,9.0,0.0,0.996,0.003,0.001,0.0,0,2,0,1,1,0,0,0,1
jatm-0076-congestion-delay-heavy,JATM-0076,congestion_delay_heavy,48.4,67.0,Priority,True,False,False,not_required,5,1,2,Inventory/Catering,0.154,OK,46,0.874,HIGH,Cleaning,0.502,15.5,5.2,6.4,0.001,0.126,0.502,0.33,0.041,0,1,0,1,1,0,0,1,1
jatm-0077-assistance-readiness,JATM-0077,assistance_readiness,77.3,37.3,Routine,False,True,True,confirmed,3,0,1,OCC coordination,0.18,OK,50,0.427,LOW,Boarding,0.694,11.9,4.8,6.0,0.0,0.016,0.235,0.694,0.055,0,0,0,1,1,0,0,0,1
jatm-0078-composite-multi-risk,JATM-0078,composite_multi_risk,5.0,100.0,Critical,True,True,True,confirmed,6,3,2,Maintenance,0.797,CRITICAL,0,0.867,HIGH,Maintenance,1.0,23.3,8.5,9.7,1.0,0.0,0.0,0.0,0.0,2,1,0,1,1,0,0,0,1
jatm-0079-low-risk-routine,JATM-0079,low_risk_routine,79.3,33.1,Routine,False,False,False,not_required,3,0,1,OCC coordination,0.117,OK,56,0.267,LOW,Cleaning,0.685,10.6,4.2,5.4,0.0,0.038,0.685,0.276,0.0,0,0,0,0,1,0,0,1,1
jatm-0080-maintenance-heavy,JATM-0080,maintenance_heavy,25.6,100.0,Critical,True,False,False,not_required,5,2,2,Maintenance,0.903,CRITICAL,0,0.317,LOW,Maintenance,1.0,19.6,7.5,8.7,1.0,0.0,0.0,0.0,0.0,2,0,0,1,1,0,0,0,1
jatm-0081-inventory-heavy,JATM-0081,inventory_heavy,46.3,78.3,Priority,True,False,False,not_required,5,1,3,Inventory/Catering,0.389,PLAN,31,0.88,HIGH,Catering,0.994,19.1,7.4,8.6,0.0,0.994,0.003,0.003,0.0,0,2,0,1,1,0,0,0,1
jatm-0082-congestion-delay-heavy,JATM-0082,congestion_delay_heavy,34.4,90.2,Critical,True,True,True,confirmed,6,2,2,Inventory/Catering,0.554,PLAN,19,0.757,HIGH,Boarding,0.913,20.1,7.3,8.5,0.0,0.012,0.069,0.913,0.005,0,1,0,3,1,0,0,0,1
jatm-0083-assistance-readiness,JATM-0083,assistance_readiness,52.4,67.3,Priority,True,True,False,unconfirmed,4,1,1,Assistance,0.489,PLAN,23,0.291,LOW,Boarding,0.881,15.2,6.8,8.0,0.0,0.021,0.092,0.881,0.006,0,0,1,1,1,0,0,0,1
jatm-0084-composite-multi-risk,JATM-0084,composite_multi_risk,10.0,100.0,Critical,True,True,True,confirmed,6,3,2,Maintenance,0.836,CRITICAL,0,0.879,HIGH,Maintenance,1.0,23.0,8.7,9.9,1.0,0.0,0.0,0.0,0.0,2,1,0,1,1,0,0,0,1
jatm-0085-low-risk-routine,JATM-0085,low_risk_routine,84.4,23.9,Routine,False,False,False,not_required,2,0,0,Refueling,0.213,OK,43,0.214,LOW,Refueling,0.316,8.2,3.2,4.4,0.006,0.157,0.315,0.206,0.316,0,0,0,0,0,0,1,0,1
jatm-0086-maintenance-heavy,JATM-0086,maintenance_heavy,30.4,97.4,Critical,True,True,True,confirmed,4,1,2,Maintenance,0.944,CRITICAL,0,0.431,LOW,Maintenance,1.0,20.6,7.9,9.1,1.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,0,1
jatm-0087-inventory-heavy,JATM-0087,inventory_heavy,52.7,70.4,Priority,True,False,False,not_required,4,1,2,Inventory/Catering,0.339,PLAN,29,0.878,HIGH,Catering,0.931,17.8,7.0,8.2,0.0,0.931,0.036,0.032,0.0,0,2,0,0,1,0,0,0,1
jatm-0088-congestion-delay-heavy,JATM-0088,congestion_delay_heavy,58.9,54.7,Watch,True,False,False,not_required,6,0,4,Inventory/Catering,0.202,OK,41,0.611,ELEVATED,Boarding,0.489,13.4,4.6,5.8,0.003,0.011,0.326,0.489,0.171,0,1,0,3,1,0,0,0,1
jatm-0089-assistance-readiness,JATM-0089,assistance_readiness,60.8,55.8,Watch,True,True,False,unconfirmed,4,1,1,Assistance,0.289,OK,44,0.288,LOW,Boarding,0.839,13.9,6.1,7.3,0.0,0.028,0.127,0.839,0.006,0,0,1,1,1,0,0,0,1
jatm-0090-composite-multi-risk,JATM-0090,composite_multi_risk,8.9,100.0,Critical,True,True,True,confirmed,6,3,2,Maintenance,0.936,CRITICAL,0,0.88,HIGH,Maintenance,1.0,23.9,8.9,10.1,1.0,0.0,0.0,0.0,0.0,2,1,0,1,1,0,0,0,1
jatm-0091-low-risk-routine,JATM-0091,low_risk_routine,80.6,29.4,Routine,False,False,False,not_required,2,0,0,Gate/Turnaround,0.209,OK,45,0.198,LOW,Boarding,0.461,9.2,3.6,4.8,0.004,0.009,0.241,0.461,0.285,0,0,0,1,0,0,0,0,1
