readiness_score,alert_level,dominant_signal,action_category,scenario_id,regime,baseline
87.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0035-assistance-readiness,assistance_readiness,static_delay_gate
59.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0036-composite-multi-risk,composite_multi_risk,static_delay_gate
91.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0037-low-risk-routine,low_risk_routine,static_delay_gate
75.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0038-maintenance-heavy,maintenance_heavy,static_delay_gate
80.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0039-inventory-heavy,inventory_heavy,static_delay_gate
51.9,Priority,Delay/Gate,Gate/Turnaround,jatm-0040-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
83.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0041-assistance-readiness,assistance_readiness,static_delay_gate
57.4,Watch,Delay/Gate,Gate/Turnaround,jatm-0042-composite-multi-risk,composite_multi_risk,static_delay_gate
89.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0043-low-risk-routine,low_risk_routine,static_delay_gate
77.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0044-maintenance-heavy,maintenance_heavy,static_delay_gate
75.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0045-inventory-heavy,inventory_heavy,static_delay_gate
48.1,Priority,Delay/Gate,Gate/Turnaround,jatm-0046-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
87.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0047-assistance-readiness,assistance_readiness,static_delay_gate
69.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0048-composite-multi-risk,composite_multi_risk,static_delay_gate
90.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0049-low-risk-routine,low_risk_routine,static_delay_gate
73.5,Watch,Delay/Gate,Gate/Turnaround,jatm-0050-maintenance-heavy,maintenance_heavy,static_delay_gate
81.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0051-inventory-heavy,inventory_heavy,static_delay_gate
48.6,Priority,Delay/Gate,Gate/Turnaround,jatm-0052-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
90.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0053-assistance-readiness,assistance_readiness,static_delay_gate
60.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0054-composite-multi-risk,composite_multi_risk,static_delay_gate
94.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0055-low-risk-routine,low_risk_routine,static_delay_gate
74.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0056-maintenance-heavy,maintenance_heavy,static_delay_gate
74.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0057-inventory-heavy,inventory_heavy,static_delay_gate
53.1,Priority,Delay/Gate,Gate/Turnaround,jatm-0058-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
80.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0059-assistance-readiness,assistance_readiness,static_delay_gate
57.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0060-composite-multi-risk,composite_multi_risk,static_delay_gate
94.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0061-low-risk-routine,low_risk_routine,static_delay_gate
67.4,Watch,Delay/Gate,Gate/Turnaround,jatm-0062-maintenance-heavy,maintenance_heavy,static_delay_gate
84.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0063-inventory-heavy,inventory_heavy,static_delay_gate
52.3,Priority,Delay/Gate,Gate/Turnaround,jatm-0064-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
80.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0065-assistance-readiness,assistance_readiness,static_delay_gate
60.7,Watch,Delay/Gate,Gate/Turnaround,jatm-0066-composite-multi-risk,composite_multi_risk,static_delay_gate
90.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0067-low-risk-routine,low_risk_routine,static_delay_gate
77.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0068-maintenance-heavy,maintenance_heavy,static_delay_gate
85.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0069-inventory-heavy,inventory_heavy,static_delay_gate
63.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0070-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
88.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0071-assistance-readiness,assistance_readiness,static_delay_gate
71.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0072-composite-multi-risk,composite_multi_risk,static_delay_gate
91.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0073-low-risk-routine,low_risk_routine,static_delay_gate
66.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0074-maintenance-heavy,maintenance_heavy,static_delay_gate
80.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0075-inventory-heavy,inventory_heavy,static_delay_gate
54.7,Priority,Delay/Gate,Gate/Turnaround,jatm-0076-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
90.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0077-assistance-readiness,assistance_readiness,static_delay_gate
56.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0078-composite-multi-risk,composite_multi_risk,static_delay_gate
90.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0079-low-risk-routine,low_risk_routine,static_delay_gate
72.5,Watch,Delay/Gate,Gate/Turnaround,jatm-0080-maintenance-heavy,maintenance_heavy,static_delay_gate
72.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0081-inventory-heavy,inventory_heavy,static_delay_gate
58.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0082-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
79.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0083-assistance-readiness,assistance_readiness,static_delay_gate
62.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0084-composite-multi-risk,composite_multi_risk,static_delay_gate
91.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0085-low-risk-routine,low_risk_routine,static_delay_gate
81.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0086-maintenance-heavy,maintenance_heavy,static_delay_gate
83.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0087-inventory-heavy,inventory_heavy,static_delay_gate
59.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0088-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
78.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0089-assistance-readiness,assistance_readiness,static_delay_gate
64.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0090-composite-multi-risk,composite_multi_risk,static_delay_gate
86.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0091-low-risk-routine,low_risk_routine,static_delay_gate
75.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0092-maintenance-heavy,maintenance_heavy,static_delay_gate
78.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0093-inventory-heavy,inventory_heavy,static_delay_gate
54.8,Priority,Delay/Gate,Gate/Turnaround,jatm-0094-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
84.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0095-assistance-readiness,assistance_readiness,static_delay_gate
54.1,Priority,Delay/Gate,Gate/Turnaround,jatm-0096-composite-multi-risk,composite_multi_risk,static_delay_gate
92.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0097-low-risk-routine,low_risk_routine,static_delay_gate
68.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0098-maintenance-heavy,maintenance_heavy,static_delay_gate
72.5,Watch,Delay/Gate,Gate/Turnaround,jatm-0099-inventory-heavy,inventory_heavy,static_delay_gate
53.3,Priority,Delay/Gate,Gate/Turnaround,jatm-0100-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
89.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0101-assistance-readiness,assistance_readiness,static_delay_gate
57.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0102-composite-multi-risk,composite_multi_risk,static_delay_gate
95.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0103-low-risk-routine,low_risk_routine,static_delay_gate
70.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0104-maintenance-heavy,maintenance_heavy,static_delay_gate
83.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0105-inventory-heavy,inventory_heavy,static_delay_gate
67.4,Watch,Delay/Gate,Gate/Turnaround,jatm-0106-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
85.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0107-assistance-readiness,assistance_readiness,static_delay_gate
58.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0108-composite-multi-risk,composite_multi_risk,static_delay_gate
94.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0109-low-risk-routine,low_risk_routine,static_delay_gate
75.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0110-maintenance-heavy,maintenance_heavy,static_delay_gate
76.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0111-inventory-heavy,inventory_heavy,static_delay_gate
62.7,Watch,Delay/Gate,Gate/Turnaround,jatm-0112-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
79.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0113-assistance-readiness,assistance_readiness,static_delay_gate
68.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0114-composite-multi-risk,composite_multi_risk,static_delay_gate
92.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0115-low-risk-routine,low_risk_routine,static_delay_gate
79.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0116-maintenance-heavy,maintenance_heavy,static_delay_gate
82.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0117-inventory-heavy,inventory_heavy,static_delay_gate
53.2,Priority,Delay/Gate,Gate/Turnaround,jatm-0118-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
85.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0119-assistance-readiness,assistance_readiness,static_delay_gate
46.2,Priority,Delay/Gate,Gate/Turnaround,jatm-0120-composite-multi-risk,composite_multi_risk,static_delay_gate
91.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0121-low-risk-routine,low_risk_routine,static_delay_gate
73.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0122-maintenance-heavy,maintenance_heavy,static_delay_gate
75.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0123-inventory-heavy,inventory_heavy,static_delay_gate
54.9,Priority,Delay/Gate,Gate/Turnaround,jatm-0124-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
80.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0125-assistance-readiness,assistance_readiness,static_delay_gate
60.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0126-composite-multi-risk,composite_multi_risk,static_delay_gate
89.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0127-low-risk-routine,low_risk_routine,static_delay_gate
82.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0128-maintenance-heavy,maintenance_heavy,static_delay_gate
80.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0129-inventory-heavy,inventory_heavy,static_delay_gate
54.2,Priority,Delay/Gate,Gate/Turnaround,jatm-0130-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
84.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0131-assistance-readiness,assistance_readiness,static_delay_gate
63.7,Watch,Delay/Gate,Gate/Turnaround,jatm-0132-composite-multi-risk,composite_multi_risk,static_delay_gate
91.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0133-low-risk-routine,low_risk_routine,static_delay_gate
71.7,Watch,Delay/Gate,Gate/Turnaround,jatm-0134-maintenance-heavy,maintenance_heavy,static_delay_gate
73.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0135-inventory-heavy,inventory_heavy,static_delay_gate
60.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0136-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
79.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0137-assistance-readiness,assistance_readiness,static_delay_gate
65.5,Watch,Delay/Gate,Gate/Turnaround,jatm-0138-composite-multi-risk,composite_multi_risk,static_delay_gate
86.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0139-low-risk-routine,low_risk_routine,static_delay_gate
82.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0140-maintenance-heavy,maintenance_heavy,static_delay_gate
75.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0141-inventory-heavy,inventory_heavy,static_delay_gate
64.8,Watch,Delay/Gate,Gate/Turnaround,jatm-0142-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
85.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0143-assistance-readiness,assistance_readiness,static_delay_gate
52.0,Priority,Delay/Gate,Gate/Turnaround,jatm-0144-composite-multi-risk,composite_multi_risk,static_delay_gate
87.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0145-low-risk-routine,low_risk_routine,static_delay_gate
77.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0146-maintenance-heavy,maintenance_heavy,static_delay_gate
77.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0147-inventory-heavy,inventory_heavy,static_delay_gate
46.9,Priority,Delay/Gate,Gate/Turnaround,jatm-0148-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
88.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0149-assistance-readiness,assistance_readiness,static_delay_gate
47.5,Priority,Delay/Gate,Gate/Turnaround,jatm-0150-composite-multi-risk,composite_multi_risk,static_delay_gate
91.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0151-low-risk-routine,low_risk_routine,static_delay_gate
76.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0152-maintenance-heavy,maintenance_heavy,static_delay_gate
81.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0153-inventory-heavy,inventory_heavy,static_delay_gate
54.1,Priority,Delay/Gate,Gate/Turnaround,jatm-0154-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
85.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0155-assistance-readiness,assistance_readiness,static_delay_gate
61.8,Watch,Delay/Gate,Gate/Turnaround,jatm-0156-composite-multi-risk,composite_multi_risk,static_delay_gate
93.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0157-low-risk-routine,low_risk_routine,static_delay_gate
78.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0158-maintenance-heavy,maintenance_heavy,static_delay_gate
78.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0159-inventory-heavy,inventory_heavy,static_delay_gate
51.2,Priority,Delay/Gate,Gate/Turnaround,jatm-0160-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
83.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0161-assistance-readiness,assistance_readiness,static_delay_gate
64.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0162-composite-multi-risk,composite_multi_risk,static_delay_gate
91.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0163-low-risk-routine,low_risk_routine,static_delay_gate
75.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0164-maintenance-heavy,maintenance_heavy,static_delay_gate
77.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0165-inventory-heavy,inventory_heavy,static_delay_gate
63.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0166-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
92.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0167-assistance-readiness,assistance_readiness,static_delay_gate
55.7,Priority,Delay/Gate,Gate/Turnaround,jatm-0168-composite-multi-risk,composite_multi_risk,static_delay_gate
92.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0169-low-risk-routine,low_risk_routine,static_delay_gate
66.3,Watch,Delay/Gate,Gate/Turnaround,jatm-0170-maintenance-heavy,maintenance_heavy,static_delay_gate
86.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0171-inventory-heavy,inventory_heavy,static_delay_gate
61.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0172-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
81.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0173-assistance-readiness,assistance_readiness,static_delay_gate
49.5,Priority,Delay/Gate,Gate/Turnaround,jatm-0174-composite-multi-risk,composite_multi_risk,static_delay_gate
87.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0175-low-risk-routine,low_risk_routine,static_delay_gate
76.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0176-maintenance-heavy,maintenance_heavy,static_delay_gate
79.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0177-inventory-heavy,inventory_heavy,static_delay_gate
59.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0178-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
83.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0179-assistance-readiness,assistance_readiness,static_delay_gate
61.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0180-composite-multi-risk,composite_multi_risk,static_delay_gate
89.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0181-low-risk-routine,low_risk_routine,static_delay_gate
78.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0182-maintenance-heavy,maintenance_heavy,static_delay_gate
84.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0183-inventory-heavy,inventory_heavy,static_delay_gate
66.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0184-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
78.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0185-assistance-readiness,assistance_readiness,static_delay_gate
57.9,Watch,Delay/Gate,Gate/Turnaround,jatm-0186-composite-multi-risk,composite_multi_risk,static_delay_gate
90.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0187-low-risk-routine,low_risk_routine,static_delay_gate
73.0,Watch,Delay/Gate,Gate/Turnaround,jatm-0188-maintenance-heavy,maintenance_heavy,static_delay_gate
78.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0189-inventory-heavy,inventory_heavy,static_delay_gate
55.0,Priority,Delay/Gate,Gate/Turnaround,jatm-0190-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
85.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0191-assistance-readiness,assistance_readiness,static_delay_gate
56.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0192-composite-multi-risk,composite_multi_risk,static_delay_gate
92.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0193-low-risk-routine,low_risk_routine,static_delay_gate
72.4,Watch,Delay/Gate,Gate/Turnaround,jatm-0194-maintenance-heavy,maintenance_heavy,static_delay_gate
76.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0195-inventory-heavy,inventory_heavy,static_delay_gate
59.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0196-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
90.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0197-assistance-readiness,assistance_readiness,static_delay_gate
55.7,Priority,Delay/Gate,Gate/Turnaround,jatm-0198-composite-multi-risk,composite_multi_risk,static_delay_gate
85.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0199-low-risk-routine,low_risk_routine,static_delay_gate
76.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0200-maintenance-heavy,maintenance_heavy,static_delay_gate
74.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0201-inventory-heavy,inventory_heavy,static_delay_gate
51.3,Priority,Delay/Gate,Gate/Turnaround,jatm-0202-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
76.1,Routine,Delay/Gate,Gate/Turnaround,jatm-0203-assistance-readiness,assistance_readiness,static_delay_gate
68.6,Watch,Delay/Gate,Gate/Turnaround,jatm-0204-composite-multi-risk,composite_multi_risk,static_delay_gate
91.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0205-low-risk-routine,low_risk_routine,static_delay_gate
82.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0206-maintenance-heavy,maintenance_heavy,static_delay_gate
85.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0207-inventory-heavy,inventory_heavy,static_delay_gate
49.4,Priority,Delay/Gate,Gate/Turnaround,jatm-0208-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
74.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0209-assistance-readiness,assistance_readiness,static_delay_gate
63.1,Watch,Delay/Gate,Gate/Turnaround,jatm-0210-composite-multi-risk,composite_multi_risk,static_delay_gate
90.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0211-low-risk-routine,low_risk_routine,static_delay_gate
72.7,Watch,Delay/Gate,Gate/Turnaround,jatm-0212-maintenance-heavy,maintenance_heavy,static_delay_gate
81.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0213-inventory-heavy,inventory_heavy,static_delay_gate
65.8,Watch,Delay/Gate,Gate/Turnaround,jatm-0214-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
82.3,Routine,Delay/Gate,Gate/Turnaround,jatm-0215-assistance-readiness,assistance_readiness,static_delay_gate
48.6,Priority,Delay/Gate,Gate/Turnaround,jatm-0216-composite-multi-risk,composite_multi_risk,static_delay_gate
91.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0217-low-risk-routine,low_risk_routine,static_delay_gate
79.5,Routine,Delay/Gate,Gate/Turnaround,jatm-0218-maintenance-heavy,maintenance_heavy,static_delay_gate
76.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0219-inventory-heavy,inventory_heavy,static_delay_gate
56.8,Watch,Delay/Gate,Gate/Turnaround,jatm-0220-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
79.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0221-assistance-readiness,assistance_readiness,static_delay_gate
55.3,Priority,Delay/Gate,Gate/Turnaround,jatm-0222-composite-multi-risk,composite_multi_risk,static_delay_gate
87.9,Routine,Delay/Gate,Gate/Turnaround,jatm-0223-low-risk-routine,low_risk_routine,static_delay_gate
72.2,Watch,Delay/Gate,Gate/Turnaround,jatm-0224-maintenance-heavy,maintenance_heavy,static_delay_gate
75.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0225-inventory-heavy,inventory_heavy,static_delay_gate
49.8,Priority,Delay/Gate,Gate/Turnaround,jatm-0226-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
80.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0227-assistance-readiness,assistance_readiness,static_delay_gate
47.9,Priority,Delay/Gate,Gate/Turnaround,jatm-0228-composite-multi-risk,composite_multi_risk,static_delay_gate
91.4,Routine,Delay/Gate,Gate/Turnaround,jatm-0229-low-risk-routine,low_risk_routine,static_delay_gate
77.6,Routine,Delay/Gate,Gate/Turnaround,jatm-0230-maintenance-heavy,maintenance_heavy,static_delay_gate
80.0,Routine,Delay/Gate,Gate/Turnaround,jatm-0231-inventory-heavy,inventory_heavy,static_delay_gate
51.1,Priority,Delay/Gate,Gate/Turnaround,jatm-0232-congestion-delay-heavy,congestion_delay_heavy,static_delay_gate
87.8,Routine,Delay/Gate,Gate/Turnaround,jatm-0233-assistance-readiness,assistance_readiness,static_delay_gate
56.0,Priority,Delay/Gate,Gate/Turnaround,jatm-0234-composite-multi-risk,composite_multi_risk,static_delay_gate
92.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0235-low-risk-routine,low_risk_routine,static_delay_gate
76.7,Routine,Delay/Gate,Gate/Turnaround,jatm-0236-maintenance-heavy,maintenance_heavy,static_delay_gate
81.2,Routine,Delay/Gate,Gate/Turnaround,jatm-0237-inventory-heavy,inventory_heavy,static_delay_gate
